Cluster-1	total=20	enrichmentScore=5.603068435361114	phaseStdDev=3.8846037069441963	"glutathione metabolic process,glutathione peroxidase activity,Glutathione metabolism,Glutathione S-transferase, N-terminal,Thioredoxin-like fold,glutathione transferase activity,Glutathione S-transferase, C-terminal-like,Glutathione S-transferase, C-terminal,Metabolism of xenobiotics by cytochrome P450,Drug metabolism - cytochrome P450,GST N-terminal,Posttranslational modification, protein turnover, chaperones,GST C-terminal,TransferaseAnnotation Cluster 1"	Enrichment Score: 5.603068435361114								
UP_SEQ_FEATURE	domain:GST N-terminal	3	3.03030303	0.007446437	6.082386	1.117723715	"FBtr0082572, FBtr0082607, FBtr0082570"	39	11	3113	21.76923077	0.678929184	0.795541247
COG_ONTOLOGY	"Posttranslational modification, protein turnover, chaperones"	7	7.070707071	0.01022981	3.276797857	2.788905426	"FBtr0082572, FBtr0086676, FBtr0086675, FBtr0086674, FBtr0086671, FBtr0077189, FBtr0076622"	19	138	1239	3.30778032	0.088389484	0.081838479
UP_SEQ_FEATURE	domain:GST C-terminal	3	3.03030303	0.010399232	6.082386	1.117723715	"FBtr0082572, FBtr0082607, FBtr0082570"	39	13	3113	18.42011834	0.795862121	0.795541247
UP_KEYWORDS	Transferase	14	14.14141414	0.039502379	2.386777071	3.952500489	"FBtr0082607, FBtr0340240, FBtr0299929, FBtr0082572, FBtr0086676, FBtr0086675, FBtr0114541, FBtr0086674, FBtr0334067, FBtr0082570, FBtr0086671, FBtr0079703, FBtr0076622, FBtr0336679"	99	1081	13921	1.821115877	0.994015481	0.73257264
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0086674	GstE6-RA	1.352557	0.028433	4.3	FlyBase GstE6-RA	Figure for GstE6-RA							
FBtr0086675	GstE7-RA	1.420305	0.029042	4.1	FlyBase GstE7-RA	Figure for GstE7-RA							
FBtr0086676	GstE8-RA	1.981458	0.017516	3.6	FlyBase GstE8-RA	Figure for GstE8-RA							
FBtr0114541	St1-RB	1.119271	0.031077	0.2	FlyBase St1-RB	Figure for St1-RB							
FBtr0299929	sqa-RB	1.064147	0.036656	2.3	FlyBase sqa-RB	Figure for sqa-RB							
FBtr0086671	GstE3-RA	1.701857	0.027705	3.2	FlyBase GstE3-RA	Figure for GstE3-RA							
FBtr0082607	GstD1-RA	0.96603	0.045609	5.2	FlyBase GstD1-RA	Figure for GstD1-RA							
FBtr0079703	fu12-RA	0.771223	0.046117	5.7	FlyBase fu12-RA	Figure for fu12-RA							
FBtr0082572	GstD5-RA	0.809602	0.043045	7.7	FlyBase GstD5-RA	Figure for GstD5-RA							
FBtr0082570	GstD3-RA	1.415453	0.03291	5.4	FlyBase GstD3-RA	Figure for GstD3-RA							
FBtr0345229	Dip-B-RD	2.31513	0.010993	2.2	FlyBase Dip-B-RD	Figure for Dip-B-RD							
FBtr0077189	Rpt6-RA	0.894569	0.033382	21.6	FlyBase Rpt6-RA	Figure for Rpt6-RA							
FBtr0076622	GstO3-RA	2.531253	0.008325	2.4	FlyBase GstO3-RA	Figure for GstO3-RA							
FBtr0340240	Akap200-RF	-0.353874	0.045609	15.2	FlyBase Akap200-RF	Figure for Akap200-RF							
FBtr0334067	E(z)-RC	0.57163	0.04544	22.3	FlyBase E(z)-RC	Figure for E(z)-RC							
FBtr0073067	PHGPx-RA	0.909519	0.033871	24	FlyBase PHGPx-RA	Figure for PHGPx-RA							
FBtr0079095	cl-RA	1.010088	0.012521	23.7	FlyBase cl-RA	Figure for cl-RA							
FBtr0079840	Trx-2-RA	1.767768	0.014986	4.5	FlyBase Trx-2-RA	Figure for Trx-2-RA							
FBtr0071832	CG4752-RA	0.911723	0.026062	19	FlyBase CG4752-RA	Figure for CG4752-RA							
FBtr0336679	St3-RB	1.518322	0.031077	23.7	FlyBase St3-RB	Figure for St3-RB							
													
Cluster-2	total=8	enrichmentScore=1.20709015017174	phaseStdDev=2.860475067025425	"oxidation-reduction process,FAD,Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain,FlavoproteinAnnotation Cluster 2"	Enrichment Score: 1.20709015017174								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	8	8.080808081	0.035701762	-0.108564125	2.860475067	"FBtr0082760, FBtr0071168, FBtr0073067, FBtr0089056, FBtr0085571, FBtr0079128, FBtr0082404, FBtr0081257"	84	412	10996	2.541840037	0.999924287	1
UP_KEYWORDS	FAD	3	3.03030303	0.066734675	-1.879873	0.558311378	"FBtr0071168, FBtr0079128, FBtr0082404"	99	60	13921	7.030808081	0.999844886	0.73257264
INTERPRO	"IPR023753:Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain"	3	3.03030303	0.07333256	-1.879873	0.558311378	"FBtr0071168, FBtr0079128, FBtr0082404"	87	57	10984	6.644888082	0.999999887	1
UP_KEYWORDS	Flavoprotein	3	3.03030303	0.084976991	-1.879873	0.558311378	"FBtr0071168, FBtr0079128, FBtr0082404"	99	69	13921	6.113746157	0.999987357	0.73257264
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0071168	Trxr-1-RB	1.093512	0.03366	21.8	FlyBase Trxr-1-RB	Figure for Trxr-1-RB							
FBtr0085571	CG9743-RA	2.372364	0.004004	3.8	FlyBase CG9743-RA	Figure for CG9743-RA							
FBtr0082760	GILT1-RA	0.300556	0.038236	19.8	FlyBase GILT1-RA	Figure for GILT1-RA							
FBtr0082404	ninaG-RA	1.358534	0.028909	21.7	FlyBase ninaG-RA	Figure for ninaG-RA							
FBtr0073067	PHGPx-RA	0.909519	0.033871	24	FlyBase PHGPx-RA	Figure for PHGPx-RA							
FBtr0089056	Cyp9b1-RA	1.64049	0.016684	4.7	FlyBase Cyp9b1-RA	Figure for Cyp9b1-RA							
FBtr0081257	CG13077-RA	1.306587	0.028433	0.4	FlyBase CG13077-RA	Figure for CG13077-RA							
FBtr0079128	CG7277-RA	1.055386	0.020585	22.9	FlyBase CG7277-RA	Figure for CG7277-RA							
													
Cluster-3	total=7	enrichmentScore=0.6206287131068082	phaseStdDev=2.9671318122790784	"Transit peptide,Mitochondrion,mitochondrion,MitochondrionAnnotation Cluster 3"	Enrichment Score: 0.6206287131068082								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_KEYWORDS	Transit peptide	4	4.04040404	0.086524328	-1.60890125	0.996490022	"FBtr0073434, FBtr0071168, FBtr0079128, FBtr0076822"	99	148	13921	3.8004368	0.999989802	0.73257264
UP_KEYWORDS	Mitochondrion	4	4.04040404	0.282637563	-1.60890125	0.996490022	"FBtr0073434, FBtr0071168, FBtr0079128, FBtr0076822"	99	263	13921	2.138648846	1	1
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	6	6.060606061	0.322681129	-0.8551515	3.11550766	"FBtr0073434, FBtr0071168, FBtr0073067, FBtr0079128, FBtr0079840, FBtr0086701"	80	477	10026	1.576415094	1	1
UP_SEQ_FEATURE	transit peptide:Mitochondrion	3	3.03030303	0.4171992	-1.781241667	1.097809155	"FBtr0073434, FBtr0071168, FBtr0076822"	39	116	3113	2.064323607	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0086701	Pepck-RA	0.545392	0.046117	18	FlyBase Pepck-RA	Figure for Pepck-RA							
FBtr0071168	Trxr-1-RB	1.093512	0.03366	21.8	FlyBase Trxr-1-RB	Figure for Trxr-1-RB							
FBtr0079840	Trx-2-RA	1.767768	0.014986	4.5	FlyBase Trx-2-RA	Figure for Trx-2-RA							
FBtr0076822	CG7506-RA	0.881652	0.030324	21.2	FlyBase CG7506-RA	Figure for CG7506-RA							
FBtr0073434	Hsp60A-RA	0.612212	0.038318	23.7	FlyBase Hsp60A-RA	Figure for Hsp60A-RA							
FBtr0079128	CG7277-RA	1.055386	0.020585	22.9	FlyBase CG7277-RA	Figure for CG7277-RA							
FBtr0073067	PHGPx-RA	0.909519	0.033871	24	FlyBase PHGPx-RA	Figure for PHGPx-RA							
													
Cluster-4	total=12	enrichmentScore=0.6010842996772402	phaseStdDev=3.128048476017937	"cellular response to DNA damage stimulus,disulfide bond,Disulfide bond,Alternative splicing,splice variantAnnotation Cluster 4"	Enrichment Score: 0.6010842996772402								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_BP_DIRECT	GO:0006974~cellular response to DNA damage stimulus	5	5.050505051	0.008101117	0.4130118	2.963460962	"FBtr0333453, FBtr0071168, FBtr0089340, FBtr0077189, FBtr0079840"	84	105	10996	6.233560091	0.880328243	1
UP_SEQ_FEATURE	disulfide bond	5	5.050505051	0.407670342	-2.2491556	3.679005152	"FBtr0075338, FBtr0071168, FBtr0301839, FBtr0079840, FBtr0083876"	39	265	3113	1.506047412	1	1
UP_KEYWORDS	Disulfide bond	6	6.060606061	0.512169469	-2.1344865	3.368230609	"FBtr0075338, FBtr0071168, FBtr0085362, FBtr0301839, FBtr0079840, FBtr0083876"	99	670	13921	1.259249209	1	1
UP_KEYWORDS	Alternative splicing	5	5.050505051	0.654459846	0.3281236	3.013242619	"FBtr0071168, FBtr0089340, FBtr0301839, FBtr0079840, FBtr0088073"	99	631	13921	1.114232659	1	1
UP_SEQ_FEATURE	splice variant	6	6.060606061	0.892129228	-0.4994375	3.602643823	"FBtr0071168, FBtr0091748, FBtr0089340, FBtr0301839, FBtr0079840, FBtr0086701"	39	610	3113	0.785119798	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0333453	Rpn10-RB	0.673737	0.028773	22.8	FlyBase Rpn10-RB	Figure for Rpn10-RB							
FBtr0086701	Pepck-RA	0.545392	0.046117	18	FlyBase Pepck-RA	Figure for Pepck-RA							
FBtr0085362	CG11842-RA	0.777056	0.040136	22.4	FlyBase CG11842-RA	Figure for CG11842-RA							
FBtr0083876	Rh3-RA	1.037006	0.004004	18.9	FlyBase Rh3-RA	Figure for Rh3-RA							
FBtr0088073	Tret1-1-RA	1.129614	0.034078	22.3	FlyBase Tret1-1-RA	Figure for Tret1-1-RA							
FBtr0071168	Trxr-1-RB	1.093512	0.03366	21.8	FlyBase Trxr-1-RB	Figure for Trxr-1-RB							
FBtr0301839	Ppn-RG	1.260023	0.032454	21.6	FlyBase Ppn-RG	Figure for Ppn-RG							
FBtr0089340	Rel-RC	0.870308	0.04964	3.5	FlyBase Rel-RC	Figure for Rel-RC							
FBtr0077189	Rpt6-RA	0.894569	0.033382	21.6	FlyBase Rpt6-RA	Figure for Rpt6-RA							
FBtr0075338	Rh4-RA	0.700931	0.048415	18	FlyBase Rh4-RA	Figure for Rh4-RA							
FBtr0091748	primo-1-RB	1.387778	0.027998	23.7	FlyBase primo-1-RB	Figure for primo-1-RB							
FBtr0079840	Trx-2-RA	1.767768	0.014986	4.5	FlyBase Trx-2-RA	Figure for Trx-2-RA							
													
Cluster-5	total=13	enrichmentScore=0.5575984429268545	phaseStdDev=2.2203973034109676	"AAA,P-loop containing nucleoside triphosphate hydrolase,Nucleotide-binding,AAA+ ATPase domain,ATPase activity,ATP-binding,ATP bindingAnnotation Cluster 5"	Enrichment Score: 0.5575984429268545								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
SMART	SM00382:AAA	3	3.03030303	0.15673012	-2.835466667	0.964872943	"FBtr0077189, FBtr0072117, FBtr0076106"	31	123	5218	4.105428796	0.999447249	1
INTERPRO	IPR027417:P-loop containing nucleoside triphosphate hydrolase	7	7.070707071	0.211808693	-2.116627	1.464836946	"FBtr0114541, FBtr0075274, FBtr0077189, FBtr0072866, FBtr0072117, FBtr0076106, FBtr0336679"	87	512	10984	1.726113506	1	1
UP_KEYWORDS	Nucleotide-binding	8	8.080808081	0.223723317	-1.751176625	2.491518034	"FBtr0345640, FBtr0073434, FBtr0071168, FBtr0077189, FBtr0299929, FBtr0072117, FBtr0076106, FBtr0086701"	99	701	13921	1.604749348	1	1
INTERPRO	IPR003593:AAA+ ATPase domain	3	3.03030303	0.250493604	-2.835466667	0.964872943	"FBtr0077189, FBtr0072117, FBtr0076106"	87	123	10984	3.07933838	1	1
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	3	3.03030303	0.33661647	-2.835466667	0.964872943	"FBtr0077189, FBtr0072117, FBtr0076106"	75	150	9284	2.475733333	1	1
UP_KEYWORDS	ATP-binding	6	6.060606061	0.356734914	-0.9594485	2.138140824	"FBtr0345640, FBtr0073434, FBtr0077189, FBtr0299929, FBtr0072117, FBtr0076106"	99	558	13921	1.512001738	1	1
GOTERM_MF_DIRECT	GO:0005524~ATP binding	7	7.070707071	0.559404279	-0.737300286	2.052961969	"FBtr0345640, FBtr0073434, FBtr0343286, FBtr0077189, FBtr0299929, FBtr0072117, FBtr0076106"	75	751	9284	1.153803817	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0072866	HBS1-RA	0.059067	0.049033	20.6	FlyBase HBS1-RA	Figure for HBS1-RA							
FBtr0086701	Pepck-RA	0.545392	0.046117	18	FlyBase Pepck-RA	Figure for Pepck-RA							
FBtr0343286	Unc-89-RG	1.118716	0.032781	0.6	FlyBase Unc-89-RG	Figure for Unc-89-RG							
FBtr0345640	LeuRS-RB	0.976584	0.047622	0.7	FlyBase LeuRS-RB	Figure for LeuRS-RB							
FBtr0073434	Hsp60A-RA	0.612212	0.038318	23.7	FlyBase Hsp60A-RA	Figure for Hsp60A-RA							
FBtr0076106	CG32091-RB	1.192504	0.009138	19.8	FlyBase CG32091-RB	Figure for CG32091-RB							
FBtr0299929	sqa-RB	1.064147	0.036656	2.3	FlyBase sqa-RB	Figure for sqa-RB							
FBtr0077189	Rpt6-RA	0.894569	0.033382	21.6	FlyBase Rpt6-RA	Figure for Rpt6-RA							
FBtr0071168	Trxr-1-RB	1.093512	0.03366	21.8	FlyBase Trxr-1-RB	Figure for Trxr-1-RB							
FBtr0114541	St1-RB	1.119271	0.031077	0.2	FlyBase St1-RB	Figure for St1-RB							
FBtr0072117	bw-RA	1.963185	0.012521	22.1	FlyBase bw-RA	Figure for bw-RA							
FBtr0075274	CG7728-RA	1.379194	0.020077	21.2	FlyBase CG7728-RA	Figure for CG7728-RA							
FBtr0336679	St3-RB	1.518322	0.031077	23.7	FlyBase St3-RB	Figure for St3-RB							
													
Cluster-6	total=11	enrichmentScore=0.5242979595292112	phaseStdDev=3.8356697686170627	"Vision,Glycoprotein,visual perception,Sensory transduction,Secreted,N-linked (GlcNAc...),extracellular region,transmembrane region,Extracellular,CytoplasmicAnnotation Cluster 6"	Enrichment Score: 0.5242979595292112								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_KEYWORDS	Vision	3	3.03030303	0.05911039	-4.475718667	1.573832112	"FBtr0075338, FBtr0082404, FBtr0083876"	99	56	13921	7.533008658	0.999564075	0.73257264
UP_KEYWORDS	Glycoprotein	8	8.080808081	0.064224348	-0.44867125	4.407378092	"FBtr0075338, FBtr0331760, FBtr0085373, FBtr0082404, FBtr0301839, FBtr0074183, FBtr0088073, FBtr0083876"	99	503	13921	2.236439946	0.999781822	0.73257264
GOTERM_BP_DIRECT	GO:0007601~visual perception	3	3.03030303	0.066716643	-4.475718667	1.573832112	"FBtr0075338, FBtr0082404, FBtr0083876"	84	56	10996	7.012755102	0.999999985	1
UP_KEYWORDS	Sensory transduction	3	3.03030303	0.271926599	-4.475718667	1.573832112	"FBtr0075338, FBtr0082404, FBtr0083876"	99	145	13921	2.909299896	1	1
UP_KEYWORDS	Secreted	4	4.04040404	0.328892132	0.83480225	3.686525673	"FBtr0331760, FBtr0082404, FBtr0301839, FBtr0074183"	99	287	13921	1.959807131	1	1
UP_SEQ_FEATURE	glycosylation site:N-linked (GlcNAc...)	7	7.070707071	0.414600834	-0.267834	4.683840533	"FBtr0075338, FBtr0331760, FBtr0085373, FBtr0082404, FBtr0301839, FBtr0074183, FBtr0083876"	39	423	3113	1.320906832	1	1
GOTERM_CC_DIRECT	GO:0005576~extracellular region	4	4.04040404	0.821784159	1.288912	3.358534426	"FBtr0085632, FBtr0331760, FBtr0082404, FBtr0074183"	80	556	10026	0.901618705	1	1
UP_SEQ_FEATURE	transmembrane region	6	6.060606061	0.847078782	-0.553953	5.014699704	"FBtr0075338, FBtr0331760, FBtr0085373, FBtr0072117, FBtr0076822, FBtr0083876"	39	566	3113	0.846153846	1	1
UP_SEQ_FEATURE	topological domain:Extracellular	3	3.03030303	0.906785632	14.50987233	5.57826215	"FBtr0075338, FBtr0331760, FBtr0083876"	39	312	3113	0.767504931	1	1
UP_SEQ_FEATURE	topological domain:Cytoplasmic	3	3.03030303	0.964053511	14.50987233	5.57826215	"FBtr0075338, FBtr0331760, FBtr0083876"	39	397	3113	0.603177679	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0075338	Rh4-RA	0.700931	0.048415	18	FlyBase Rh4-RA	Figure for Rh4-RA							
FBtr0074183	PGRP-LE-RA	1.883257	0.014986	1.4	FlyBase PGRP-LE-RA	Figure for PGRP-LE-RA							
FBtr0331760	sog-RB	1.141983	0.023613	6.6	FlyBase sog-RB	Figure for sog-RB							
FBtr0083876	Rh3-RA	1.037006	0.004004	18.9	FlyBase Rh3-RA	Figure for Rh3-RA							
FBtr0072117	bw-RA	1.963185	0.012521	22.1	FlyBase bw-RA	Figure for bw-RA							
FBtr0301839	Ppn-RG	1.260023	0.032454	21.6	FlyBase Ppn-RG	Figure for Ppn-RG							
FBtr0076822	CG7506-RA	0.881652	0.030324	21.2	FlyBase CG7506-RA	Figure for CG7506-RA							
FBtr0085373	Ctl2-RC	1.352779	0.020077	5.9	FlyBase Ctl2-RC	Figure for Ctl2-RC							
FBtr0082404	ninaG-RA	1.358534	0.028909	21.7	FlyBase ninaG-RA	Figure for ninaG-RA							
FBtr0085632	Fer1HCH-RB	0.943927	0.045362	23.4	FlyBase Fer1HCH-RB	Figure for Fer1HCH-RB							
FBtr0088073	Tret1-1-RA	1.129614	0.034078	22.3	FlyBase Tret1-1-RA	Figure for Tret1-1-RA							
													
Cluster-7	total=11	enrichmentScore=0.26414876711769303	phaseStdDev=3.726673054392247	"Nucleus,Transcription regulation,Transcription,transcription factor activity, sequence-specific DNA binding,transcription, DNA-templatedAnnotation Cluster 7"	Enrichment Score: 0.26414876711769303								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_KEYWORDS	Nucleus	11	11.11111111	0.275239602	-1.665712182	3.726673054	"FBtr0072235, FBtr0299697, FBtr0081374, FBtr0079299, FBtr0089340, FBtr0334067, FBtr0083781, FBtr0077189, FBtr0078212, FBtr0079697, FBtr0330378"	99	1134	13921	1.364001568	1	1
UP_KEYWORDS	Transcription regulation	4	4.04040404	0.56457945	0.89785675	2.675084505	"FBtr0089340, FBtr0334067, FBtr0078212, FBtr0330378"	99	416	13921	1.352078477	1	1
UP_KEYWORDS	Transcription	4	4.04040404	0.606037655	0.89785675	2.675084505	"FBtr0089340, FBtr0334067, FBtr0078212, FBtr0330378"	99	442	13921	1.272544449	1	1
GOTERM_MF_DIRECT	"GO:0003700~transcription factor activity, sequence-specific DNA binding"	3	3.03030303	0.649000125	1.817998667	2.480885236	"FBtr0089340, FBtr0334067, FBtr0078212"	75	275	9284	1.3504	1	1
GOTERM_BP_DIRECT	"GO:0006351~transcription, DNA-templated"	3	3.03030303	0.781764216	0.033523	2.559911096	"FBtr0334067, FBtr0078212, FBtr0330378"	84	376	10996	1.044452888	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0079299	Aatf-RA	0.185936	0.047472	22.2	FlyBase Aatf-RA	Figure for Aatf-RA							
FBtr0079697	CG13097-RA	1.179087	0.026354	21.2	FlyBase CG13097-RA	Figure for CG13097-RA							
FBtr0330378	PSR-RB	1.315157	0.017516	22.1	FlyBase PSR-RB	Figure for PSR-RB							
FBtr0083781	Nup58-RA	0.704603	0.046577	12.6	FlyBase Nup58-RA	Figure for Nup58-RA							
FBtr0081374	La-RA	0.650103	0.028219	23.2	FlyBase La-RA	Figure for La-RA							
FBtr0089340	Rel-RC	0.870308	0.04964	3.5	FlyBase Rel-RC	Figure for Rel-RC							
FBtr0072235	eIF6-RA	1.64543	0.007493	22.5	FlyBase eIF6-RA	Figure for eIF6-RA							
FBtr0077189	Rpt6-RA	0.894569	0.033382	21.6	FlyBase Rpt6-RA	Figure for Rpt6-RA							
FBtr0334067	E(z)-RC	0.57163	0.04544	22.3	FlyBase E(z)-RC	Figure for E(z)-RC							
FBtr0299697	Mlp60A-RB	0.974901	0.024315	22.9	FlyBase Mlp60A-RB	Figure for Mlp60A-RB							
FBtr0078212	knrl-RA	0.697524	0.035591	3.7	FlyBase knrl-RA	Figure for knrl-RA							
													
Cluster-8	total=24	enrichmentScore=0.18557000081739927	phaseStdDev=4.479324424541247	"Membrane,Transmembrane helix,Transmembrane,integral component of membraneAnnotation Cluster 8"	Enrichment Score: 0.18557000081739927								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_KEYWORDS	Membrane	24	24.24242424	0.538546218	0.40134975	4.479324425	"FBtr0075338, FBtr0073067, FBtr0339660, FBtr0089056, FBtr0089026, FBtr0084648, FBtr0081427, FBtr0089028, FBtr0081257, FBtr0084601, FBtr0083876, FBtr0331760, FBtr0085571, FBtr0085373, FBtr0086044, FBtr0087881, FBtr0079128, FBtr0331756, FBtr0072812, FBtr0079703, FBtr0088073, FBtr0072117, FBtr0076822, FBtr0076106"	99	3266	13921	1.03330921	1	1
UP_KEYWORDS	Transmembrane helix	21	21.21212121	0.638073322	0.163031619	4.654708633	"FBtr0075338, FBtr0073067, FBtr0339660, FBtr0089026, FBtr0084648, FBtr0081427, FBtr0089028, FBtr0081257, FBtr0084601, FBtr0083876, FBtr0331760, FBtr0085571, FBtr0085373, FBtr0086044, FBtr0087881, FBtr0331756, FBtr0079703, FBtr0088073, FBtr0072117, FBtr0076822, FBtr0076106"	99	2985	13921	0.989259428	1	1
UP_KEYWORDS	Transmembrane	21	21.21212121	0.641307838	0.163031619	4.654708633	"FBtr0075338, FBtr0073067, FBtr0339660, FBtr0089026, FBtr0084648, FBtr0081427, FBtr0089028, FBtr0081257, FBtr0084601, FBtr0083876, FBtr0331760, FBtr0085571, FBtr0085373, FBtr0086044, FBtr0087881, FBtr0331756, FBtr0079703, FBtr0088073, FBtr0072117, FBtr0076822, FBtr0076106"	99	2990	13921	0.987605148	1	1
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	20	20.2020202	0.821409803	0.31335865	4.71964676	"FBtr0075338, FBtr0073067, FBtr0339660, FBtr0089026, FBtr0084648, FBtr0081427, FBtr0089028, FBtr0081257, FBtr0084601, FBtr0083876, FBtr0331760, FBtr0085571, FBtr0085373, FBtr0086044, FBtr0087881, FBtr0331756, FBtr0079703, FBtr0088073, FBtr0072117, FBtr0076106"	80	2814	10026	0.890724947	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0087881	CG8785-RA	2.96241	0.006281	7.2	FlyBase CG8785-RA	Figure for CG8785-RA							
FBtr0339660	CG44325-RB	2.593826	0.004004	3.1	FlyBase CG44325-RB	Figure for CG44325-RB							
FBtr0331756	CG9917-RB	1.044068	0.024315	21.7	FlyBase CG9917-RB	Figure for CG9917-RB							
FBtr0085373	Ctl2-RC	1.352779	0.020077	5.9	FlyBase Ctl2-RC	Figure for Ctl2-RC							
FBtr0081257	CG13077-RA	1.306587	0.028433	0.4	FlyBase CG13077-RA	Figure for CG13077-RA							
FBtr0083876	Rh3-RA	1.037006	0.004004	18.9	FlyBase Rh3-RA	Figure for Rh3-RA							
