test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
FBtr0070886	FBgn0029839	-	X:6078707-6081372	young	old	OK	16.719	23.9417	0.518032	1.48291	5e-05	0.000518851	yes
FBtr0070888	FBgn0029837	-	X:6067957-6074857	young	old	OK	28.4048	15.985	-0.829415	-1.44796	5e-05	0.000518851	yes
FBtr0070891	FBgn0027546	-	X:5997507-6000797	young	old	OK	7.43306	4.88252	-0.606331	-1.60837	5e-05	0.000518851	yes
FBtr0070907	FBgn0261955	-	X:6350628-6361323	young	old	OK	182.963	91.6999	-0.996558	-3.4207	5e-05	0.000518851	yes
FBtr0070947	FBgn0029879	-	X:6597087-6599699	young	old	OK	0.151928	0.561984	1.88714	1.64578	5e-05	0.000518851	yes
FBtr0070991	FBgn0029887	-	X:6668538-6673973	young	old	OK	33.9114	27.3475	-0.310362	-1.12486	5e-05	0.000518851	yes
FBtr0071006	FBgn0027108	-	X:6998671-7004151	young	old	OK	87.0616	53.9798	-0.689619	-1.45143	5e-05	0.000518851	yes
FBtr0071020	FBgn0029935	-	X:7098577-7102300	young	old	OK	30.5113	21.3943	-0.51212	-1.67953	5e-05	0.000518851	yes
FBtr0071057	FBgn0029950	-	X:7418593-7422142	young	old	OK	23.0294	15.4446	-0.57637	-1.73089	5e-05	0.000518851	yes
FBtr0071058	FBgn0040923	-	X:7452208-7452643	young	old	OK	864.717	623.857	-0.471011	-1.68322	5e-05	0.000518851	yes
FBtr0071078	FBgn0029955	-	X:7712782-7717932	young	old	OK	1.72252	0.85664	-1.00776	-1.31719	5e-05	0.000518851	yes
FBtr0071102	FBgn0003447	-	X:7956819-7986601	young	old	OK	51.1642	90.4381	0.821795	2.2098	5e-05	0.000518851	yes
FBtr0071116	FBgn0029994	-	X:8078349-8081605	young	old	OK	137.842	109.889	-0.326963	-1.17865	5e-05	0.000518851	yes
FBtr0071167	FBgn0020653	-	X:8241500-8248033	young	old	OK	20.7293	33.4813	0.691688	1.59757	5e-05	0.000518851	yes
FBtr0071189	FBgn0030011	-	X:8150730-8152275	young	old	OK	19.5746	11.8207	-0.727659	-2.0669	5e-05	0.000518851	yes
FBtr0071233	FBgn0030048	-	X:8558878-8560192	young	old	OK	9.92512	20.4367	1.042	2.59592	5e-05	0.000518851	yes
FBtr0071242	FBgn0030040	-	X:8458493-8460898	young	old	OK	5.41858	23.5948	2.12248	3.49721	5e-05	0.000518851	yes
FBtr0071269	FBgn0011661	-	X:8873011-8898332	young	old	OK	99.5157	143.731	0.530381	1.29579	5e-05	0.000518851	yes
FBtr0071289	FBgn0030086	-	X:9089512-9092826	young	old	OK	20.4793	38.6687	0.916996	3.09	5e-05	0.000518851	yes
FBtr0071368	FBgn0264691	-	X:9601029-9605969	young	old	OK	8.15114	12.1942	0.581121	1.30118	5e-05	0.000518851	yes
FBtr0071374	FBgn0267253	-	X:9502825-9550838	young	old	OK	39.1605	25.72	-0.606512	-2.16933	5e-05	0.000518851	yes
FBtr0071388	FBgn0030157	-	X:9878421-9879279	young	old	OK	99.9031	145.052	0.537971	1.85431	5e-05	0.000518851	yes
FBtr0071389	FBgn0030158	-	X:9879869-9880535	young	old	OK	62.4482	149.829	1.26259	4.10165	5e-05	0.000518851	yes
FBtr0071390	FBgn0030159	-	X:9881952-9883670	young	old	OK	21.1975	86.0606	2.02146	5.44861	5e-05	0.000518851	yes
FBtr0071391	FBgn0030160	-	X:9884441-9885044	young	old	OK	25.1156	41.2899	0.717208	1.18248	5e-05	0.000518851	yes
FBtr0071392	FBgn0030160	-	X:9884441-9885044	young	old	OK	36.4968	59.7076	0.710142	1.61173	5e-05	0.000518851	yes
FBtr0071424	FBgn0005391	-	X:10050950-10052636	young	old	OK	1306.96	400.772	-1.70536	-1.73141	5e-05	0.000518851	yes
FBtr0071441	FBgn0030189	-	X:10326463-10329872	young	old	OK	2.45253	5.7605	1.23192	1.51244	5e-05	0.000518851	yes
FBtr0071519	FBgn0000044	-	2R:20944020-20946431	young	old	OK	856.228	1175.26	0.456913	1.35586	5e-05	0.000518851	yes
FBtr0071522	FBgn0261394	-	2R:20994899-20996118	young	old	OK	17.3507	25.502	0.555613	1.50255	5e-05	0.000518851	yes
FBtr0071530	FBgn0034576	-	2R:21025077-21026086	young	old	OK	140.043	102.601	-0.448825	-1.50498	5e-05	0.000518851	yes
FBtr0071541	FBgn0034583	-	2R:21070367-21072789	young	old	OK	105.188	133.952	0.348742	1.24125	5e-05	0.000518851	yes
FBtr0071553	FBgn0034567	-	2R:20978900-20986500	young	old	OK	7.12453	4.34558	-0.713246	-1.80429	5e-05	0.000518851	yes
FBtr0071559	FBgn0040653	-	2R:20868495-20869321	young	old	OK	764.684	1206.23	0.657574	2.2184	5e-05	0.000518851	yes
FBtr0071562	FBgn0011674	-	2R:20821261-20836028	young	old	OK	6.07478	11.9094	0.971193	2.06625	5e-05	0.000518851	yes
FBtr0071578	FBgn0003162	-	2R:21175314-21182608	young	old	OK	143.705	56.1535	-1.35566	-4.16598	5e-05	0.000518851	yes
FBtr0071610	FBgn0000395	-	2R:21355014-21379464	young	old	OK	9.49036	17.7288	0.901559	2.94316	5e-05	0.000518851	yes
FBtr0071612	FBgn0034623	-	2R:21346874-21347883	young	old	OK	1.36	0.43858	-1.6327	-1.4391	5e-05	0.000518851	yes
FBtr0071661	FBgn0034644	-	2R:21646176-21657935	young	old	OK	61.1672	44.4312	-0.461185	-1.63135	5e-05	0.000518851	yes
FBtr0071678	FBgn0050285	-	2R:21687902-21688545	young	old	OK	12.6036	19.1064	0.600225	1.2102	5e-05	0.000518851	yes
FBtr0071692	FBgn0034636	-	2R:21560245-21576035	young	old	OK	16.1954	7.2416	-1.1612	-3.16447	5e-05	0.000518851	yes
FBtr0071697	FBgn0050289	-	2R:21520412-21521848	young	old	OK	0.286497	4.94687	4.10992	3.84892	5e-05	0.000518851	yes
FBtr0071745	FBgn0034660	-	2R:21789622-21791580	young	old	OK	8.89992	2.81746	-1.6594	-3.56697	5e-05	0.000518851	yes
FBtr0071762	FBgn0029147	-	2R:22127807-22131299	young	old	OK	10.7962	20.1141	0.897684	2.62092	5e-05	0.000518851	yes
FBtr0071821	FBgn0025878	-	2R:22379636-22382675	young	old	OK	10.2634	15.896	0.631156	1.83929	5e-05	0.000518851	yes
FBtr0071823	FBgn0034725	-	2R:22404176-22411545	young	old	OK	122.01	63.3117	-0.946451	-2.4245	5e-05	0.000518851	yes
FBtr0071865	FBgn0034761	-	2R:22663691-22664474	young	old	OK	68.6587	126.119	0.877267	2.77161	5e-05	0.000518851	yes
FBtr0071868	FBgn0034763	-	2R:22669144-22673695	young	old	OK	15.0589	11.0863	-0.441838	-1.25938	5e-05	0.000518851	yes
FBtr0071883	FBgn0011211	-	2R:22799098-22802180	young	old	OK	187.079	135.887	-0.461238	-1.64496	5e-05	0.000518851	yes
FBtr0071898	FBgn0004896	-	2R:22868158-22870706	young	old	OK	3.99486	2.41462	-0.726346	-1.51582	5e-05	0.000518851	yes
FBtr0071899	FBgn0034788	-	2R:22871189-22874427	young	old	OK	10.4493	7.38031	-0.50166	-1.3292	5e-05	0.000518851	yes
FBtr0071922	FBgn0005631	-	2R:22692523-22700970	young	old	OK	11.1375	7.819	-0.510367	-1.3797	5e-05	0.000518851	yes
FBtr0071928	FBgn0034756	-	2R:22650555-22654530	young	old	OK	0.302863	1.79425	2.56664	2.7913	5e-05	0.000518851	yes
FBtr0071933	FBgn0034753	-	2R:22644645-22646344	young	old	OK	119.913	156.523	0.384389	1.33561	5e-05	0.000518851	yes
FBtr0071988	FBgn0034808	-	2R:22985373-23048325	young	old	OK	17.6118	11.1643	-0.657653	-1.88767	5e-05	0.000518851	yes
FBtr0072011	FBgn0041712	-	2R:23377865-23383424	young	old	OK	25.4785	15.2997	-0.735778	-1.43358	5e-05	0.000518851	yes
FBtr0072087	FBgn0034897	-	2R:23713899-23734846	young	old	OK	40.0178	53.3573	0.415044	1.31015	5e-05	0.000518851	yes
FBtr0072102	FBgn0034885	-	2R:23603721-23616754	young	old	OK	82.2004	52.3325	-0.651438	-2.09857	5e-05	0.000518851	yes
FBtr0072117	FBgn0000241	-	2R:23523855-23538499	young	old	OK	8.29243	14.1634	0.772302	1.61547	5e-05	0.000518851	yes
FBtr0072127	FBgn0024234	-	2R:23851561-23853247	young	old	OK	17.9026	23.4215	0.387666	1.19739	5e-05	0.000518851	yes
FBtr0072130	FBgn0020372	-	2R:23878196-23882927	young	old	OK	91.1686	32.4836	-1.48883	-4.43675	5e-05	0.000518851	yes
FBtr0072131	FBgn0034920	-	2R:23886972-23890276	young	old	OK	90.6383	117.659	0.376415	1.27041	5e-05	0.000518851	yes
FBtr0072138	FBgn0261794	-	2R:23907653-23925066	young	old	OK	39.8967	16.9976	-1.23094	-2.35429	5e-05	0.000518851	yes
FBtr0072162	FBgn0034959	-	2R:24022342-24023981	young	old	OK	39.8793	25.8893	-0.623283	-2.05757	5e-05	0.000518851	yes
FBtr0072164	FBgn0011695	-	2R:24026171-24027518	young	old	OK	1214.24	1729.57	0.510366	1.70765	5e-05	0.000518851	yes
FBtr0072188	FBgn0011726	-	2R:24037942-24046805	young	old	OK	114.976	189.491	0.720794	2.032	5e-05	0.000518851	yes
FBtr0072209	FBgn0034935	-	2R:23946958-23949076	young	old	OK	27.6071	54.4127	0.978903	2.42118	5e-05	0.000518851	yes
FBtr0072212	FBgn0263006	-	2R:23925076-23935884	young	old	OK	192.915	20.6191	-3.22591	-3.45972	5e-05	0.000518851	yes
FBtr0072213	FBgn0263006	-	2R:23925076-23935884	young	old	OK	4.25176	0.277208	-3.93902	-0.585671	5e-05	0.000518851	yes
FBtr0072215	FBgn0263006	-	2R:23925076-23935884	young	old	OK	124.134	13.2985	-3.22256	-2.73922	5e-05	0.000518851	yes
FBtr0072242	FBgn0010278	-	2R:23806360-23809004	young	old	OK	5.27584	11.0578	1.0676	2.90464	5e-05	0.000518851	yes
FBtr0072252	FBgn0034978	-	2R:24116791-24126630	young	old	OK	57.2403	36.4542	-0.650944	-2.33934	5e-05	0.000518851	yes
FBtr0072254	FBgn0019643	-	2R:24139562-24159312	young	old	OK	39.4285	19.4444	-1.01988	-1.67018	5e-05	0.000518851	yes
FBtr0072257	FBgn0034985	-	2R:24162488-24173660	young	old	OK	6.82221	10.0428	0.557846	1.554	5e-05	0.000518851	yes
FBtr0072275	FBgn0050419	-	2R:24212490-24229795	young	old	OK	7.85443	4.46277	-0.815568	-2.34177	5e-05	0.000518851	yes
FBtr0072420	FBgn0035076	-	2R:24888627-24891023	young	old	OK	25.742	39.0639	0.601712	2.06424	5e-05	0.000518851	yes
FBtr0072427	FBgn0015801	-	2R:24788007-24793410	young	old	OK	30.8597	48.236	0.644387	2.08086	5e-05	0.000518851	yes
FBtr0072443	FBgn0035092	-	2R:25032376-25040377	young	old	OK	74.9284	43.8589	-0.772642	-1.66032	5e-05	0.000518851	yes
FBtr0072451	FBgn0050428	-	2R:25183627-25255318	young	old	OK	49.2053	32.9713	-0.577604	-1.68811	5e-05	0.000518851	yes
FBtr0072504	FBgn0027111	-	3L:267298-270336	young	old	OK	250.627	153.61	-0.706271	-2.18305	5e-05	0.000518851	yes
FBtr0072506	FBgn0029002	-	3L:271199-275018	young	old	OK	3.88515	1.87568	-1.05056	-1.44491	5e-05	0.000518851	yes
FBtr0072563	FBgn0035144	-	3L:582823-589274	young	old	OK	4.68986	7.10302	0.598888	1.58919	5e-05	0.000518851	yes
FBtr0072583	FBgn0035165	-	3L:837860-839931	young	old	OK	8.3542	18.0111	1.10831	1.2647	5e-05	0.000518851	yes
FBtr0072635	FBgn0035189	-	3L:1200785-1232700	young	old	OK	8.96512	4.55543	-0.976735	-1.33983	5e-05	0.000518851	yes
FBtr0072648	FBgn0024277	-	3L:995981-1036298	young	old	OK	99.6799	65.1479	-0.613583	-1.73385	5e-05	0.000518851	yes
FBtr0072694	FBgn0004635	-	3L:1342492-1475257	young	old	OK	18.1994	38.11	1.06628	1.89366	5e-05	0.000518851	yes
FBtr0072734	FBgn0035193	-	3L:1235725-1245910	young	old	OK	0.544262	3.07905	2.50011	1.72907	5e-05	0.000518851	yes
FBtr0072761	FBgn0025712	-	3L:1648627-1654238	young	old	OK	41.5676	25.7602	-0.690313	-1.39796	5e-05	0.000518851	yes
FBtr0072808	FBgn0035253	-	3L:1654246-1665064	young	old	OK	88.0931	43.3469	-1.0231	-2.07935	5e-05	0.000518851	yes
FBtr0072809	FBgn0035251	-	3L:1648627-1654238	young	old	OK	25.4444	39.7056	0.641994	1.36975	5e-05	0.000518851	yes
FBtr0072836	FBgn0262624	-	3L:1885656-1891462	young	old	OK	0.630462	0.214741	-1.55381	-1.2265	5e-05	0.000518851	yes
FBtr0072866	FBgn0042712	-	3L:1862880-1865240	young	old	OK	5.74577	9.18752	0.677175	1.72596	5e-05	0.000518851	yes
FBtr0072874	FBgn0040507	-	3L:2237607-2243719	young	old	OK	0.25104	0.633893	1.33632	1.64688	5e-05	0.000518851	yes
FBtr0072887	FBgn0035331	-	3L:2322692-2345799	young	old	OK	5.82943	3.75544	-0.634372	-1.68717	5e-05	0.000518851	yes
FBtr0072906	FBgn0035321	-	3L:2252743-2257423	young	old	OK	352.854	274.11	-0.364315	-1.20073	5e-05	0.000518851	yes
FBtr0072963	FBgn0035348	-	3L:2499371-2503606	young	old	OK	47.2033	69.0983	0.549762	1.56814	5e-05	0.000518851	yes
FBtr0073004	FBgn0266918	-	3L:3055907-3070839	young	old	OK	90.8865	71.6674	-0.342749	-1.24543	5e-05	0.000518851	yes
FBtr0073016	FBgn0035371	-	3L:2768465-2772325	young	old	OK	27.6911	37.3222	0.43061	1.53502	5e-05	0.000518851	yes
FBtr0073033	FBgn0052278	-	3L:3169285-3172545	young	old	OK	70.1044	47.3275	-0.566827	-1.72752	5e-05	0.000518851	yes
FBtr0073040	FBgn0001233	-	3L:3192968-3197631	young	old	OK	278.188	399.599	0.522492	1.69154	5e-05	0.000518851	yes
FBtr0073078	FBgn0027616	-	3L:3370450-3374170	young	old	OK	25.2752	18.0729	-0.48389	-1.68503	5e-05	0.000518851	yes
FBtr0073116	FBgn0035400	-	3L:3128033-3143457	young	old	OK	34.3113	26.4214	-0.376974	-1.24823	5e-05	0.000518851	yes
FBtr0073118	FBgn0026189	-	3L:3111232-3127724	young	old	OK	26.1379	19.5418	-0.419581	-1.2485	5e-05	0.000518851	yes
FBtr0073124	FBgn0035398	-	3L:3090984-3106958	young	old	OK	0.934902	0.303812	-1.62163	-2.25311	5e-05	0.000518851	yes
FBtr0073153	FBgn0004875	-	3L:3818678-3842326	young	old	OK	16.9044	11.0225	-0.616953	-1.84819	5e-05	0.000518851	yes
FBtr0073172	FBgn0035476	-	3L:3938623-3940125	young	old	OK	1.56045	3.00496	0.945384	1.3409	5e-05	0.000518851	yes
FBtr0073210	FBgn0035498	-	3L:4103563-4107116	young	old	OK	22.7992	35.8148	0.651572	1.71606	5e-05	0.000518851	yes
FBtr0073232	FBgn0035523	-	3L:4277961-4282817	young	old	OK	16.9911	28.5905	0.750755	2.41232	5e-05	0.000518851	yes
FBtr0073276	FBgn0004516	-	3L:4074076-4092706	young	old	OK	152.522	72.2327	-1.07829	-1.76066	5e-05	0.000518851	yes
FBtr0073294	FBgn0035542	-	3L:4406942-4420648	young	old	OK	37.6614	21.3807	-0.816778	-1.21771	5e-05	0.000518851	yes
FBtr0073299	FBgn0000038	-	3L:4429348-4435993	young	old	OK	184.283	84.9415	-1.11738	-3.67181	5e-05	0.000518851	yes
FBtr0073300	FBgn0000038	-	3L:4429348-4435993	young	old	OK	116.46	46.2238	-1.33313	-1.72418	5e-05	0.000518851	yes
FBtr0073308	FBgn0035557	-	3L:4533169-4539270	young	old	OK	0.398095	1.41113	1.82566	1.53723	5e-05	0.000518851	yes
FBtr0073317	FBgn0015805	-	3L:4626601-4629467	young	old	OK	7.6747	10.704	0.479972	1.31748	5e-05	0.000518851	yes
FBtr0073323	FBgn0014073	-	3L:4510697-4532145	young	old	OK	6.97792	9.19699	0.398365	1.2943	5e-05	0.000518851	yes
FBtr0073353	FBgn0035583	-	3L:4898899-4900869	young	old	OK	3.12589	7.33702	1.23092	1.84345	5e-05	0.000518851	yes
FBtr0073354	FBgn0028699	-	3L:4910367-4920198	young	old	OK	23.7519	15.1154	-0.652022	-1.30378	5e-05	0.000518851	yes
FBtr0073362	FBgn0035575	-	3L:4803076-4805274	young	old	OK	27.3968	13.5602	-1.01463	-3.15112	5e-05	0.000518851	yes
FBtr0073393	FBgn0003366	-	X:11071440-11086299	young	old	OK	5.56586	7.61468	0.45218	1.5168	5e-05	0.000518851	yes
FBtr0073410	FBgn0030241	-	X:10852445-10854869	young	old	OK	0.199567	0.601448	1.59156	1.61072	5e-05	0.000518851	yes
FBtr0073421	FBgn0003360	-	X:10772540-10786958	young	old	OK	1438.8	876.737	-0.714648	-1.54547	5e-05	0.000518851	yes
FBtr0073423	FBgn0003360	-	X:10772540-10786958	young	old	OK	771.647	287.76	-1.42307	-1.99158	5e-05	0.000518851	yes
FBtr0073428	FBgn0030263	-	X:11089230-11095143	young	old	OK	36.035	120.606	1.74283	4.56968	5e-05	0.000518851	yes
FBtr0073436	FBgn0028686	-	X:11125100-11126785	young	old	OK	30.3603	43.127	0.506409	1.57976	5e-05	0.000518851	yes
FBtr0073518	FBgn0030318	-	X:11599837-11606288	young	old	OK	5.11472	7.19141	0.49162	1.24986	5e-05	0.000518851	yes
FBtr0073520	FBgn0030321	-	X:11611926-11615840	young	old	OK	7.69125	11.9195	0.632034	1.79551	5e-05	0.000518851	yes
FBtr0073542	FBgn0003277	-	X:11562799-11570326	young	old	OK	13.8593	17.7084	0.353582	1.26279	5e-05	0.000518851	yes
FBtr0073543	FBgn0030309	-	X:11555049-11558654	young	old	OK	13.0448	28.9345	1.14932	1.58619	5e-05	0.000518851	yes
FBtr0073547	FBgn0262740	-	X:11430522-11454386	young	old	OK	30.154	23.2401	-0.375732	-1.25092	5e-05	0.000518851	yes
FBtr0073557	FBgn0030334	-	X:11787380-11792253	young	old	OK	16.4672	30.2945	0.879459	2.41332	5e-05	0.000518851	yes
FBtr0073591	FBgn0030357	-	X:11920003-11924662	young	old	OK	12.3461	20.2878	0.716556	1.50972	5e-05	0.000518851	yes
FBtr0073657	FBgn0030406	-	X:12609976-12611667	young	old	OK	13.4318	8.93284	-0.588466	-1.33509	5e-05	0.000518851	yes
FBtr0073678	FBgn0030412	-	X:12631604-12653442	young	old	OK	33.3944	22.0253	-0.600444	-1.29608	5e-05	0.000518851	yes
FBtr0073730	FBgn0029133	-	X:13212324-13214408	young	old	OK	63.1196	83.7491	0.407987	1.43579	5e-05	0.000518851	yes
FBtr0073754	FBgn0000346	-	X:13259020-13262488	young	old	OK	81.0636	47.2704	-0.778117	-2.81772	5e-05	0.000518851	yes
FBtr0073763	FBgn0040309	-	X:13329823-13331994	young	old	OK	104.847	182.641	0.800727	2.2317	5e-05	0.000518851	yes
FBtr0073778	FBgn0030484	-	X:13404748-13409323	young	old	OK	72.4011	143.048	0.982413	3.49101	5e-05	0.000518851	yes
FBtr0073828	FBgn0027537	-	X:13822825-13825910	young	old	OK	3.72008	5.38878	0.534625	1.3304	5e-05	0.000518851	yes
FBtr0073847	FBgn0030506	-	X:13664583-13667811	young	old	OK	3.60003	7.35164	1.03006	2.69423	5e-05	0.000518851	yes
FBtr0073942	FBgn0015773	-	X:14604011-14653928	young	old	OK	2.13996	1.36069	-0.65324	-1.24776	5e-05	0.000518851	yes
FBtr0073955	FBgn0000535	-	X:14955476-15009989	young	old	OK	27.5497	18.7623	-0.554199	-1.67684	5e-05	0.000518851	yes
FBtr0073966	FBgn0030610	-	X:15084028-15084699	young	old	OK	7.4463	12.2662	0.720088	1.20121	5e-05	0.000518851	yes
FBtr0074058	FBgn0030670	-	X:15701450-15703770	young	old	OK	139.896	104.082	-0.426634	-1.46641	5e-05	0.000518851	yes
FBtr0074086	FBgn0027329	-	X:15746647-15748971	young	old	OK	13.2024	23.0378	0.803202	2.46765	5e-05	0.000518851	yes
FBtr0074133	FBgn0030715	-	X:15974424-15976706	young	old	OK	0.869382	0.274691	-1.66218	-1.46876	5e-05	0.000518851	yes
FBtr0074176	FBgn0014391	-	X:15847858-15849258	young	old	OK	296.434	218.428	-0.440556	-1.21349	5e-05	0.000518851	yes
FBtr0074177	FBgn0014391	-	X:15847858-15849258	young	old	OK	93.4787	31.0895	-1.58821	-1.85697	5e-05	0.000518851	yes
FBtr0074206	FBgn0030723	-	X:16063737-16070304	young	old	OK	17.7705	11.7088	-0.601886	-1.90677	5e-05	0.000518851	yes
FBtr0074210	FBgn0004066	-	X:16276269-16277587	young	old	OK	30.8296	41.652	0.434069	1.37664	5e-05	0.000518851	yes
FBtr0074216	FBgn0030733	-	X:16285952-16288533	young	old	OK	444.64	331.368	-0.424203	-1.47932	5e-05	0.000518851	yes
FBtr0074240	FBgn0030737	-	X:16303869-16308687	young	old	OK	16.8325	11.1206	-0.598011	-1.46135	5e-05	0.000518851	yes
FBtr0074344	FBgn0027556	-	X:16913179-16938209	young	old	OK	52.6714	37.9518	-0.472851	-1.15248	5e-05	0.000518851	yes
FBtr0074364	FBgn0030773	-	X:16696130-16711145	young	old	OK	242.633	94.4634	-1.36095	-3.96255	5e-05	0.000518851	yes
FBtr0074387	FBgn0260747	-	X:17149000-17150647	young	old	OK	172.834	353.106	1.03071	3.67747	5e-05	0.000518851	yes
FBtr0074438	FBgn0040877	-	X:17422319-17443994	young	old	OK	6.35291	2.97327	-1.09537	-1.56926	5e-05	0.000518851	yes
FBtr0074453	FBgn0030855	-	X:17636280-17639003	young	old	OK	1.99771	3.17536	0.668574	1.38774	5e-05	0.000518851	yes
FBtr0074480	FBgn0030858	-	X:17652760-17656818	young	old	OK	3.02896	4.21106	0.475363	1.20421	5e-05	0.000518851	yes
FBtr0074522	FBgn0283471	-	X:18105567-18116922	young	old	OK	138.596	64.8055	-1.09669	-1.64117	5e-05	0.000518851	yes
FBtr0074559	FBgn0022355	-	X:18387083-18390344	young	old	OK	185.971	564.536	1.60199	5.18881	5e-05	0.000518851	yes
FBtr0074579	FBgn0030912	-	X:18314123-18321193	young	old	OK	3.49789	7.5042	1.10121	2.09697	5e-05	0.000518851	yes
FBtr0074610	FBgn0010383	-	X:18688537-18693042	young	old	OK	7.41281	4.41735	-0.746839	-1.82175	5e-05	0.000518851	yes
FBtr0074669	FBgn0030993	-	X:19188034-19190193	young	old	OK	7.04985	13.2985	0.915599	2.17314	5e-05	0.000518851	yes
FBtr0074695	FBgn0030997	-	X:19196057-19201979	young	old	OK	51.7338	29.6699	-0.802108	-2.86301	5e-05	0.000518851	yes
FBtr0074711	FBgn0031020	-	X:19474155-19484643	young	old	OK	8.63218	11.7801	0.448559	1.25932	5e-05	0.000518851	yes
FBtr0074712	FBgn0031021	-	X:19492420-19494401	young	old	OK	94.9034	66.99	-0.502514	-1.64899	5e-05	0.000518851	yes
FBtr0074739	FBgn0031039	-	X:19611525-19615617	young	old	OK	5.73206	8.60154	0.585541	1.30315	5e-05	0.000518851	yes
