Cluster-1	total=49	enrichmentScore=4.796693236858635	phaseStdDev=5.441887530751054	"Transmembrane helix,Transmembrane,integral component of membrane,MembraneAnnotation Cluster 1"	Enrichment Score: 4.796693236858635								
FBtr0339696	dtn-RD	2.172226	0.011106	16.9	FlyBase dtn-RD	Figure for dtn-RD							
FBtr0074972	CG9231-RA	1.264583	0.031618	16.3	FlyBase CG9231-RA	Figure for CG9231-RA							
FBtr0334409	dpr7-RG	0.577011	0.040256	18.7	FlyBase dpr7-RG	Figure for dpr7-RG							
FBtr0100427	Acsl-RE	1.632846	0.020616	14.3	FlyBase Acsl-RE	Figure for Acsl-RE							
FBtr0309501	kirre-RF	0.472005	0.035342	15.1	FlyBase kirre-RF	Figure for kirre-RF							
FBtr0305087	CG9990-RE	0.499703	0.036597	18	FlyBase CG9990-RE	Figure for CG9990-RE							
FBtr0308125	fred-RF	1.783843	0.021143	19.4	FlyBase fred-RF	Figure for fred-RF							
FBtr0308249	CG31998-RB	0.990762	0.038551	15.4	FlyBase CG31998-RB	Figure for CG31998-RB							
FBtr0078440	CG7407-RA	0.883277	0.047375	18.8	FlyBase CG7407-RA	Figure for CG7407-RA							
FBtr0079283	CG9497-RA	0.812796	0.040144	1.1	FlyBase CG9497-RA	Figure for CG9497-RA							
FBtr0301316	Eaat2-RC	1.246733	0.041734	3.9	FlyBase Eaat2-RC	Figure for Eaat2-RC							
FBtr0301096	CG42540-RB	0.488091	0.04612	14.6	FlyBase CG42540-RB	Figure for CG42540-RB							
FBtr0301312	plh-RB	1.089713	0.040256	22.7	FlyBase plh-RB	Figure for plh-RB							
FBtr0074014	CG9164-RB	1.552583	0.028027	6	FlyBase CG9164-RB	Figure for CG9164-RB							
FBtr0085778	chp-RA	4.719771	0	0.8	FlyBase chp-RA	Figure for chp-RA							
FBtr0089972	Gat-RA	0.675923	0.034557	15.8	FlyBase Gat-RA	Figure for Gat-RA							
FBtr0073421	sesB-RA	0.034533	0.018637	4.3	FlyBase sesB-RA	Figure for sesB-RA							
FBtr0300894	nSyb-RG	0.738781	0.045142	6.2	FlyBase nSyb-RG	Figure for nSyb-RG							
FBtr0086137	l(2)01289-RB	1.141518	0.027683	3.6	FlyBase l(2)01289-RB	Figure for l(2)01289-RB							
FBtr0301662	trpl-RD	1.073084	0.036946	7.5	FlyBase trpl-RD	Figure for trpl-RD							
FBtr0081118	CG33120-RA	0.553557	0.047003	4.4	FlyBase CG33120-RA	Figure for CG33120-RA							
FBtr0072212	SERCA-RE	1.43976	0.014133	2.4	FlyBase SERCA-RE	Figure for SERCA-RE							
FBtr0307555	Nep3-RC	0.800849	0.043758	17.5	FlyBase Nep3-RC	Figure for Nep3-RC							
FBtr0090003	Ca-alpha1D-RD	0.722619	0.042351	1.7	FlyBase Ca-alpha1D-RD	Figure for Ca-alpha1D-RD							
FBtr0343365	CG9413-RC	1.234398	0.033978	16.2	FlyBase CG9413-RC	Figure for CG9413-RC							
FBtr0075025	Sfxn2-RA	0.864766	0.030065	18	FlyBase Sfxn2-RA	Figure for Sfxn2-RA							
FBtr0085821	kek6-RA	2.194904	0.010249	20.9	FlyBase kek6-RA	Figure for kek6-RA							
FBtr0074617	wgn-RA	0.481663	0.049534	18.9	FlyBase wgn-RA	Figure for wgn-RA							
FBtr0086340	CG8654-RA	3.663085	0.003712	3.3	FlyBase CG8654-RA	Figure for CG8654-RA							
FBtr0308083	RyR-RJ	1.020639	0.042524	16.6	FlyBase RyR-RJ	Figure for RyR-RJ							
FBtr0308892	CG40498-RG	0.810151	0.04779	5.6	FlyBase CG40498-RG	Figure for CG40498-RG							
FBtr0100660	kuz-RC	0.567079	0.046723	9.4	FlyBase kuz-RC	Figure for kuz-RC							
FBtr0079800	Eaat1-RB	2.570339	0.009636	17	FlyBase Eaat1-RB	Figure for Eaat1-RB							
FBtr0086633	CG15096-RB	1.154491	0.043444	23.8	FlyBase CG15096-RB	Figure for CG15096-RB							
FBtr0113033	Schip1-RB	0.667897	0.025455	23.3	FlyBase Schip1-RB	Figure for Schip1-RB							
FBtr0113030	jp-RC	0.783126	0.046596	17.8	FlyBase jp-RC	Figure for jp-RC							
FBtr0074345	CG4928-RB	1.350082	0.036087	20.7	FlyBase CG4928-RB	Figure for CG4928-RB							
FBtr0339154	GABA-B-R2-RC	0.539479	0.032697	2.2	FlyBase GABA-B-R2-RC	Figure for GABA-B-R2-RC							
FBtr0330102	fz-RC	0.746547	0.044527	16.9	FlyBase fz-RC	Figure for fz-RC							
FBtr0301639	stmA-RC	0.398986	0.047923	0	FlyBase stmA-RC	Figure for stmA-RC							
FBtr0303898	nAChRalpha6-RG	1.13874	0.032888	4.9	FlyBase nAChRalpha6-RG	Figure for nAChRalpha6-RG							
FBtr0089137	Syt7-RA	0.539044	0.045142	20	FlyBase Syt7-RA	Figure for Syt7-RA							
FBtr0073678	Tomosyn-RC	1.175049	0.024052	2.6	FlyBase Tomosyn-RC	Figure for Tomosyn-RC							
FBtr0332219	Syt1-RF	2.915476	0.005754	5.5	FlyBase Syt1-RF	Figure for Syt1-RF							
FBtr0110801	CG4467-RB	2.256227	0.020338	4.8	FlyBase CG4467-RB	Figure for CG4467-RB							
													
Cluster-2	total=19	enrichmentScore=1.982245166864452	phaseStdDev=5.506136919463909	"splice variant,transmembrane region,CytoplasmicAnnotation Cluster 2"	Enrichment Score: 1.982245166864452								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_SEQ_FEATURE	splice variant	15	12.71186441	0.001025613	-1.5573986	5.513680008	"FBtr0072212, FBtr0073421, FBtr0100580, FBtr0333718, FBtr0301639, FBtr0089496, FBtr0301662, FBtr0301096, FBtr0086113, FBtr0090003, FBtr0079147, FBtr0334648, FBtr0332219, FBtr0308083, FBtr0330102"	32	610	3113	2.392161885	0.180508328	0.199994554
UP_SEQ_FEATURE	transmembrane region	13	11.01694915	0.005650802	-1.089431769	5.830663615	"FBtr0072212, FBtr0073421, FBtr0074014, FBtr0301639, FBtr0083739, FBtr0301662, FBtr0301096, FBtr0090003, FBtr0332219, FBtr0308083, FBtr0074972, FBtr0074345, FBtr0330102"	32	566	3113	2.234375	0.666917392	0.550953235
UP_SEQ_FEATURE	topological domain:Cytoplasmic	7	5.93220339	0.195061168	-0.570737429	5.876002331	"FBtr0072212, FBtr0083739, FBtr0090003, FBtr0332219, FBtr0308083, FBtr0330102, FBtr0301662"	32	397	3113	1.715286524	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0301662	trpl-RD	1.073084	0.036946	7.5	FlyBase trpl-RD	Figure for trpl-RD							
FBtr0079147	Gpdh1-RC	0.591804	0.048207	2.1	FlyBase Gpdh1-RC	Figure for Gpdh1-RC							
FBtr0072212	SERCA-RE	1.43976	0.014133	2.4	FlyBase SERCA-RE	Figure for SERCA-RE							
FBtr0074014	CG9164-RB	1.552583	0.028027	6	FlyBase CG9164-RB	Figure for CG9164-RB							
FBtr0334648	Clk-RH	0.513584	0.04197	22.1	FlyBase Clk-RH	Figure for Clk-RH							
FBtr0301096	CG42540-RB	0.488091	0.04612	14.6	FlyBase CG42540-RB	Figure for CG42540-RB							
FBtr0089496	Gdh-RB	0.741501	0.042524	1.3	FlyBase Gdh-RB	Figure for Gdh-RB							
FBtr0090003	Ca-alpha1D-RD	0.722619	0.042351	1.7	FlyBase Ca-alpha1D-RD	Figure for Ca-alpha1D-RD							
FBtr0333718	shi-RO	0.753996	0.048814	17.2	FlyBase shi-RO	Figure for shi-RO							
FBtr0074345	CG4928-RB	1.350082	0.036087	20.7	FlyBase CG4928-RB	Figure for CG4928-RB							
FBtr0330102	fz-RC	0.746547	0.044527	16.9	FlyBase fz-RC	Figure for fz-RC							
FBtr0074972	CG9231-RA	1.264583	0.031618	16.3	FlyBase CG9231-RA	Figure for CG9231-RA							
FBtr0100580	ewg-RF	0.725539	0.047923	18.2	FlyBase ewg-RF	Figure for ewg-RF							
FBtr0073421	sesB-RA	0.034533	0.018637	4.3	FlyBase sesB-RA	Figure for sesB-RA							
FBtr0301639	stmA-RC	0.398986	0.047923	0	FlyBase stmA-RC	Figure for stmA-RC							
FBtr0083739	Dl-RA	0.81162	0.044142	17.5	FlyBase Dl-RA	Figure for Dl-RA							
FBtr0332219	Syt1-RF	2.915476	0.005754	5.5	FlyBase Syt1-RF	Figure for Syt1-RF							
FBtr0086113	Adf1-RC	1.206937	0.033257	14.4	FlyBase Adf1-RC	Figure for Adf1-RC							
FBtr0308083	RyR-RJ	1.020639	0.042524	16.6	FlyBase RyR-RJ	Figure for RyR-RJ							
													
Cluster-3	total=6	enrichmentScore=1.682614883334744	phaseStdDev=4.781776680550224	"synaptic vesicle exocytosis,synaptic vesicle,syntaxin binding,exocytosis,SNARE binding,neurotransmitter secretion,vesicle-mediated transportAnnotation Cluster 3"	Enrichment Score: 1.682614883334744								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_BP_DIRECT	GO:0016079~synaptic vesicle exocytosis	4	3.389830508	0.001075036	1.028198	3.514709287	"FBtr0301639, FBtr0089137, FBtr0332219, FBtr0073678"	95	24	10996	19.29122807	0.339072622	0.20694434
GOTERM_CC_DIRECT	GO:0008021~synaptic vesicle	4	3.389830508	0.022313183	2.57899825	4.06019473	"FBtr0089137, FBtr0332219, FBtr0300894, FBtr0073678"	94	65	10026	6.563666121	0.882786633	0.396460263
GOTERM_MF_DIRECT	GO:0019905~syntaxin binding	3	2.542372881	0.025072246	1.359526333	4.003972358	"FBtr0089137, FBtr0332219, FBtr0073678"	86	27	9284	11.99483204	0.969152253	0.740815814
GOTERM_BP_DIRECT	GO:0006887~exocytosis	3	2.542372881	0.025272928	1.599574667	4.259478776	"FBtr0089137, FBtr0300894, FBtr0073678"	95	29	10996	11.9738657	0.999947523	0.976602658
GOTERM_MF_DIRECT	GO:0000149~SNARE binding	3	2.542372881	0.032444488	4.788129333	1.568184011	"FBtr0332219, FBtr0300894, FBtr0073678"	86	31	9284	10.44711178	0.989095717	0.740815814
GOTERM_BP_DIRECT	GO:0007269~neurotransmitter secretion	4	3.389830508	0.040556329	2.57899825	4.06019473	"FBtr0089137, FBtr0332219, FBtr0300894, FBtr0073678"	95	89	10996	5.202128918	0.99999988	0.976602658
GOTERM_BP_DIRECT	GO:0016192~vesicle-mediated transport	4	3.389830508	0.083303472	0.21802875	5.750018851	"FBtr0333718, FBtr0089137, FBtr0332219, FBtr0300894"	95	120	10996	3.858245614	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0089137	Syt7-RA	0.539044	0.045142	20	FlyBase Syt7-RA	Figure for Syt7-RA							
FBtr0333718	shi-RO	0.753996	0.048814	17.2	FlyBase shi-RO	Figure for shi-RO							
FBtr0301639	stmA-RC	0.398986	0.047923	0	FlyBase stmA-RC	Figure for stmA-RC							
FBtr0073678	Tomosyn-RC	1.175049	0.024052	2.6	FlyBase Tomosyn-RC	Figure for Tomosyn-RC							
FBtr0332219	Syt1-RF	2.915476	0.005754	5.5	FlyBase Syt1-RF	Figure for Syt1-RF							
FBtr0300894	nSyb-RG	0.738781	0.045142	6.2	FlyBase nSyb-RG	Figure for nSyb-RG							
													
Cluster-4	total=16	enrichmentScore=1.6159783160644037	phaseStdDev=5.475838231857908	"Calcium transport,Calcium channel,Calcium,calcium ion transmembrane transport,calcium ion transport,Ion transport domain,Transport,Ion channel,Ion transport,Cytoplasmic,ReceptorAnnotation Cluster 4"	Enrichment Score: 1.6159783160644037								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_KEYWORDS	Calcium transport	4	3.389830508	5.94E-04	1.027122	5.392512649	"FBtr0072212, FBtr0090003, FBtr0308083, FBtr0301662"	118	20	13921	23.59491525	0.058829464	0.014410422
UP_KEYWORDS	Calcium channel	3	2.542372881	0.003015782	8.584151667	6.129829636	"FBtr0090003, FBtr0308083, FBtr0301662"	118	10	13921	35.39237288	0.265139478	0.042304525
UP_KEYWORDS	Calcium	6	5.084745763	0.003052904	2.114358833	4.717341948	"FBtr0072212, FBtr0090003, FBtr0332219, FBtr0308083, FBtr0301662, FBtr0089747"	118	117	13921	6.04997827	0.267925132	0.042304525
GOTERM_BP_DIRECT	GO:0070588~calcium ion transmembrane transport	3	2.542372881	0.008025805	8.584151667	6.129829636	"FBtr0090003, FBtr0308083, FBtr0301662"	95	16	10996	21.70263158	0.955058843	0.772483727
GOTERM_BP_DIRECT	GO:0006816~calcium ion transport	3	2.542372881	0.033976048	8.584151667	6.129829636	"FBtr0090003, FBtr0308083, FBtr0301662"	95	34	10996	10.2130031	0.999998339	0.976602658
INTERPRO	IPR005821:Ion transport domain	3	2.542372881	0.042361326	8.584151667	6.129829636	"FBtr0090003, FBtr0308083, FBtr0301662"	107	34	10984	9.057724024	0.999995001	1
UP_KEYWORDS	Transport	10	8.474576271	0.048012061	0.6715067	5.585933316	"FBtr0301316, FBtr0072212, FBtr0073421, FBtr0090003, FBtr0089972, FBtr0308083, FBtr0303898, FBtr0301662, FBtr0076656, FBtr0079800"	118	564	13921	2.091747806	0.993386863	0.391920968
UP_KEYWORDS	Ion channel	4	3.389830508	0.093132133	7.65146575	5.54894743	"FBtr0090003, FBtr0308083, FBtr0303898, FBtr0301662"	118	128	13921	3.686705508	0.999953281	0.560483656
UP_KEYWORDS	Ion transport	5	4.237288136	0.098229094	1.7923792	5.0602202	"FBtr0072212, FBtr0090003, FBtr0308083, FBtr0303898, FBtr0301662"	118	208	13921	2.835927314	0.999973709	0.560483656
UP_SEQ_FEATURE	topological domain:Cytoplasmic	7	5.93220339	0.195061168	-0.570737429	5.876002331	"FBtr0072212, FBtr0083739, FBtr0090003, FBtr0332219, FBtr0308083, FBtr0330102, FBtr0301662"	32	397	3113	1.715286524	1	1
UP_KEYWORDS	Receptor	6	5.084745763	0.30950565	-0.8484635	5.959936433	"FBtr0339154, FBtr0074617, FBtr0308083, FBtr0303898, FBtr0330102, FBtr0301662"	118	439	13921	1.612408787	1	0.96039604
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0301662	trpl-RD	1.073084	0.036946	7.5	FlyBase trpl-RD	Figure for trpl-RD							
FBtr0090003	Ca-alpha1D-RD	0.722619	0.042351	1.7	FlyBase Ca-alpha1D-RD	Figure for Ca-alpha1D-RD							
FBtr0301316	Eaat2-RC	1.246733	0.041734	3.9	FlyBase Eaat2-RC	Figure for Eaat2-RC							
FBtr0072212	SERCA-RE	1.43976	0.014133	2.4	FlyBase SERCA-RE	Figure for SERCA-RE							
FBtr0083739	Dl-RA	0.81162	0.044142	17.5	FlyBase Dl-RA	Figure for Dl-RA							
FBtr0339154	GABA-B-R2-RC	0.539479	0.032697	2.2	FlyBase GABA-B-R2-RC	Figure for GABA-B-R2-RC							
FBtr0330102	fz-RC	0.746547	0.044527	16.9	FlyBase fz-RC	Figure for fz-RC							
FBtr0089747	Mlc2-RA	1.308916	0.029464	3.1	FlyBase Mlc2-RA	Figure for Mlc2-RA							
FBtr0076656	ZC3H3-RA	0.908059	0.042756	4.7	FlyBase ZC3H3-RA	Figure for ZC3H3-RA							
FBtr0073421	sesB-RA	0.034533	0.018637	4.3	FlyBase sesB-RA	Figure for sesB-RA							
FBtr0303898	nAChRalpha6-RG	1.13874	0.032888	4.9	FlyBase nAChRalpha6-RG	Figure for nAChRalpha6-RG							
FBtr0079800	Eaat1-RB	2.570339	0.009636	17	FlyBase Eaat1-RB	Figure for Eaat1-RB							
FBtr0089972	Gat-RA	0.675923	0.034557	15.8	FlyBase Gat-RA	Figure for Gat-RA							
FBtr0332219	Syt1-RF	2.915476	0.005754	5.5	FlyBase Syt1-RF	Figure for Syt1-RF							
FBtr0074617	wgn-RA	0.481663	0.049534	18.9	FlyBase wgn-RA	Figure for wgn-RA							
FBtr0308083	RyR-RJ	1.020639	0.042524	16.6	FlyBase RyR-RJ	Figure for RyR-RJ							
													
Cluster-5	total=14	enrichmentScore=1.2132575197748345	phaseStdDev=5.501346444758884	"salivary gland morphogenesis,N-linked (GlcNAc...),regulation of hemocyte proliferation,multicellular organism development,Wnt signaling pathway,receptor binding,Glycoprotein,Wnt signaling pathway,Developmental protein,signal peptideAnnotation Cluster 5"	Enrichment Score: 1.2132575197748345								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_BP_DIRECT	GO:0007435~salivary gland morphogenesis	4	3.389830508	0.011516722	-3.57530575	4.569427058	"FBtr0333718, FBtr0343046, FBtr0330102, FBtr0089291"	95	55	10996	8.417990431	0.988433795	0.88678756
UP_SEQ_FEATURE	glycosylation site:N-linked (GlcNAc...)	10	8.474576271	0.018486926	-2.400158	4.86584491	"FBtr0074014, FBtr0343046, FBtr0083739, FBtr0090003, FBtr0308083, FBtr0074972, FBtr0074345, FBtr0330102, FBtr0089291, FBtr0085778"	32	423	3113	2.299793144	0.973218108	0.644165627
GOTERM_BP_DIRECT	GO:0035206~regulation of hemocyte proliferation	3	2.542372881	0.023659745	-3.487364667	5.38716344	"FBtr0308083, FBtr0330102, FBtr0089291"	95	28	10996	12.40150376	0.999900812	0.976602658
GOTERM_BP_DIRECT	GO:0007275~multicellular organism development	5	4.237288136	0.043673217	-4.2759538	4.330771987	"FBtr0343046, FBtr0083739, FBtr0308083, FBtr0330102, FBtr0089291"	95	155	10996	3.733786078	0.999999966	0.976602658
UP_KEYWORDS	Wnt signaling pathway	3	2.542372881	0.048485068	-2.489016667	4.808269504	"FBtr0343046, FBtr0330102, FBtr0089291"	118	42	13921	8.426755448	0.993713745	0.391920968
GOTERM_MF_DIRECT	GO:0005102~receptor binding	3	2.542372881	0.053967796	-2.262767667	4.594869179	"FBtr0343046, FBtr0083739, FBtr0089291"	86	41	9284	7.899035735	0.999499838	1
UP_KEYWORDS	Glycoprotein	9	7.627118644	0.061486847	-1.839994111	4.813452727	"FBtr0074014, FBtr0343046, FBtr0083739, FBtr0090003, FBtr0074972, FBtr0074345, FBtr0330102, FBtr0089291, FBtr0085778"	118	503	13921	2.11087711	0.998455041	0.426016013
GOTERM_BP_DIRECT	GO:0016055~Wnt signaling pathway	3	2.542372881	0.128905736	-2.489016667	4.808269504	"FBtr0343046, FBtr0330102, FBtr0089291"	95	73	10996	4.756741168	1	1
UP_KEYWORDS	Developmental protein	7	5.93220339	0.381080555	13.45555171	5.597478104	"FBtr0343046, FBtr0083739, FBtr0308083, FBtr0084803, FBtr0330102, FBtr0344910, FBtr0089291"	118	593	13921	1.392617258	1	0.96039604
UP_SEQ_FEATURE	signal peptide	6	5.084745763	0.423830328	-1.587623	4.627486315	"FBtr0343046, FBtr0083739, FBtr0071424, FBtr0330102, FBtr0089291, FBtr0085778"	32	427	3113	1.366949649	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0083739	Dl-RA	0.81162	0.044142	17.5	FlyBase Dl-RA	Figure for Dl-RA							
FBtr0084803	dan-RA	0.886505	0.044884	5.9	FlyBase dan-RA	Figure for dan-RA							
FBtr0343046	Wnt5-RB	2.199888	0.015735	19.6	FlyBase Wnt5-RB	Figure for Wnt5-RB							
FBtr0090003	Ca-alpha1D-RD	0.722619	0.042351	1.7	FlyBase Ca-alpha1D-RD	Figure for Ca-alpha1D-RD							
FBtr0074972	CG9231-RA	1.264583	0.031618	16.3	FlyBase CG9231-RA	Figure for CG9231-RA							
FBtr0333718	shi-RO	0.753996	0.048814	17.2	FlyBase shi-RO	Figure for shi-RO							
FBtr0074345	CG4928-RB	1.350082	0.036087	20.7	FlyBase CG4928-RB	Figure for CG4928-RB							
FBtr0074014	CG9164-RB	1.552583	0.028027	6	FlyBase CG9164-RB	Figure for CG9164-RB							
FBtr0330102	fz-RC	0.746547	0.044527	16.9	FlyBase fz-RC	Figure for fz-RC							
FBtr0089291	Wnt4-RA	0.811953	0.042754	4.1	FlyBase Wnt4-RA	Figure for Wnt4-RA							
FBtr0085778	chp-RA	4.719771	0	0.8	FlyBase chp-RA	Figure for chp-RA							
FBtr0344910	chrb-RE	0.623902	0.036386	13.7	FlyBase chrb-RE	Figure for chrb-RE							
FBtr0071424	Yp2-RA	0.91193	0.013512	3.6	FlyBase Yp2-RA	Figure for Yp2-RA							
FBtr0308083	RyR-RJ	1.020639	0.042524	16.6	FlyBase RyR-RJ	Figure for RyR-RJ							
													
Cluster-6	total=5	enrichmentScore=1.060865592982841	phaseStdDev=4.282212879406413	"Immunoglobulin-like domain,Immunoglobulin subtype 2,Immunoglobulin-like fold,Immunoglobulin subtype,IGc2,IGAnnotation Cluster 6"	Enrichment Score: 1.060865592982841								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
INTERPRO	IPR007110:Immunoglobulin-like domain	5	4.237288136	0.041507175	-3.5713962	4.282212879	"FBtr0308125, FBtr0081281, FBtr0334409, FBtr0085821, FBtr0309501"	107	135	10984	3.802007615	0.999993572	1
INTERPRO	IPR003598:Immunoglobulin subtype 2	4	3.389830508	0.088274594	-5.489073	2.129380751	"FBtr0308125, FBtr0334409, FBtr0085821, FBtr0309501"	107	109	10984	3.767126811	1	1
INTERPRO	IPR013783:Immunoglobulin-like fold	5	4.237288136	0.091869821	-3.5713962	4.282212879	"FBtr0308125, FBtr0081281, FBtr0334409, FBtr0085821, FBtr0309501"	107	177	10984	2.899836317	1	1
INTERPRO	IPR003599:Immunoglobulin subtype	4	3.389830508	0.0920249	-5.489073	2.129380751	"FBtr0308125, FBtr0334409, FBtr0085821, FBtr0309501"	107	111	10984	3.699250653	1	1
SMART	SM00408:IGc2	4	3.389830508	0.11565336	-5.489073	2.129380751	"FBtr0308125, FBtr0334409, FBtr0085821, FBtr0309501"	58	109	5218	3.301486871	0.999734717	1
SMART	SM00409:IG	4	3.389830508	0.120395721	-5.489073	2.129380751	"FBtr0308125, FBtr0334409, FBtr0085821, FBtr0309501"	58	111	5218	3.242000621	0.999814966	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0085821	kek6-RA	2.194904	0.010249	20.9	FlyBase kek6-RA	Figure for kek6-RA							
FBtr0334409	dpr7-RG	0.577011	0.040256	18.7	FlyBase dpr7-RG	Figure for dpr7-RG							
FBtr0309501	kirre-RF	0.472005	0.035342	15.1	FlyBase kirre-RF	Figure for kirre-RF							
FBtr0081281	Hasp-RC	2.146863	0.012733	4.1	FlyBase Hasp-RC	Figure for Hasp-RC							
FBtr0308125	fred-RF	1.783843	0.021143	19.4	FlyBase fred-RF	Figure for fred-RF							
													
Cluster-7	total=3	enrichmentScore=1.0116692933544635	phaseStdDev=2.7787527167029857	"rhabdomere,Vision,Sensory transductionAnnotation Cluster 7"	Enrichment Score: 1.0116692933544635								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_CC_DIRECT	GO:0016028~rhabdomere	3	2.542372881	0.033250982	4.394563333	2.778752717	"FBtr0081030, FBtr0301662, FBtr0085778"	94	31	10026	10.3218943	0.959746349	0.396460263
