ID	Symbol	RP24	qVal	pVal	SP	PVEC	Phase	Max/Min	Median	Non-Zero
FBtr0073306	CG7465-RA	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0075497	CG5235-RA	-3.941315	NOTEST	NOTEST	-1.952049	18.302137	20.099591	3.691669	0.527783	1
FBtr0303336	Amun-RF	-2.644945	NOTEST	NOTEST	0.111177	36.34262	13.744157	40401.9	0.0	0
FBtr0071153	CG10958-RA	-2.099934	NOTEST	NOTEST	-0.215366	22.950809	0.516344	2.36828	1.86109	1
FBtr0334046	CG43982-RA	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0075954	CG10418-RA	-0.279073	0.109557	0.0779	1.805858	5.853821	20.089351	3.445525	5.03889	1
FBtr0310008	CG43638-RA	-1.260288	NOTEST	NOTEST	-0.655284	72.141513	3.80051	25896.8	0.0	0
FBtr0089105	ND-49-RA	0.686582	0.059845	0.0231	1.608266	7.228804	2.176381	1.420566	198.4295	1
FBtr0073600	CG11802-RA	-1.365674	NOTEST	NOTEST	0.291922	98.128859	5.898073	2.312831	10.319005	1
FBtr0334585	Stat92E-RL	-1.932471	NOTEST	NOTEST	0.33041	71.505269	6.030293	2.480858	1.684725	1
FBtr0329928	Socs36E-RD	-3.008775	NOTEST	NOTEST	1.73642	1.704652	2.203274	5.657758	3.06288	1
FBtr0331996	CG31760-RC	-0.949306	0.15652	0.1516	0.121515	21.409648	4.935163	5.873138	1.063816	1
FBtr0074387	Chchd2-RA	-1.020642	NOTEST	NOTEST	2.455861	5.877125	5.8327	1.578586	391.3455	1
FBtr0340671	Nna1-RA	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0339578	Ns3-RB	-1.683405	NOTEST	NOTEST	0.050248	61.700903	14.233373	247310.0	0.5362	0
FBtr0078082	lwr-RB	-3.267985	NOTEST	NOTEST	-0.322566	51.986932	7.639573	94306.6	0.272971	0
FBtr0071495	ras-RA	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0089979	E23-RC	-1.310421	NOTEST	NOTEST	0.755369	13.801182	15.273028	20127.520661	1.176755	1
FBtr0339574	CG31778-RB	1.194597	0.023009	0.003	4.0964	0.90938	1.872268	3663231.0	1.005777	0
FBtr0087714	CG30060-RA	-2.111694	NOTEST	NOTEST	-1.820321	29.181591	0.761465	3.572783	1.11984	1
FBtr0086461	mei-W68-RA	-0.269285	0.107104	0.0749	2.682412	6.201923	12.227862	1.92075	2.151325	1
FBtr0273261	dsb-RD	-1.233596	NOTEST	NOTEST	1.354584	42.825339	3.138521	2.547236	11.002	1
FBtr0305333	Tab2-RB	-10.744576	NOTEST	NOTEST	-1.798185	53.371593	16.854713	4.510641	1.604385	1
FBtr0303267	CG13992-RB	-2.692807	NOTEST	NOTEST	0.353904	38.973223	20.407912	3191.8	0.021224	0
FBtr0346741	CG45765-RA	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0074110	Gbeta13F-RE	-3.426009	NOTEST	NOTEST	-3.370376	35.205602	14.497046	1.675744	38.85775	1
FBtr0340049	CG1737-RB	-1.013362	NOTEST	NOTEST	-0.28145	18.365706	20.616684	179433.0	0.550709	0
FBtr0081283	CG10188-RA	-3.618	NOTEST	NOTEST	0.13954	1.183404	14.629989	142284.0	0.918235	0
FBtr0308038	CG15186-RF	-1.153089	NOTEST	NOTEST	-0.162944	74.298529	3.95435	1994.3	0.0	0
FBtr0340056	tyn-RC	-2.133605	NOTEST	NOTEST	-0.231689	26.69264	11.728027	32637.9	0.119821	0
FBtr0331940	kappaTry-RC	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0344742	tau-RB	-1.37509	NOTEST	NOTEST	-0.562186	1.317668	2.53909	59824.9	0.0	0
FBtr0347363	cno-RJ	-4.081108	NOTEST	NOTEST	0.022542	28.025621	13.702479	1.576819	1.68811	1
FBtr0346946	cg-RN	-2.072714	NOTEST	NOTEST	0.004647	6.095933	19.835939	1.44873	18.67365	1
FBtr0334327	skap-RG	-2.707731	NOTEST	NOTEST	1.264537	9.883547	6.615802	2.405843	72.4141	1
FBtr0071013	CG4607-RA	-0.463741	0.108878	0.0771	2.116534	0.096362	0.717934	1.842887	7.950295	1
FBtr0088644	CG13751-RA	-2.865665	NOTEST	NOTEST	2.904567	0.100504	0.497011	2.244179	9.797945	1
FBtr0086210	CG9445-RA	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0302833	CG42684-RA	-0.643616	NOTEST	NOTEST	1.366154	99.291373	4.533223	2.606505	0.828921	1
FBtr0339597	Unc-115a-RE	-1.609602	NOTEST	NOTEST	1.372185	1.807547	21.556804	9.056792	2.642355	1
FBtr0077609	CG3332-RA	-0.0	NOTEST	NOTEST	-0.0	42.666667	16.0	1.1	0.0	0
FBtr0300861	Nop60B-RF	0.140679	0.076723	0.0381	0.808136	16.231086	21.026959	2.634582	2.77417	1
FBtr0091874	His2B:CG33870-RA	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0332357	PRL-1-RC	0.447259	0.068422	0.0302	1.56315	33.001841	11.861049	3.861477	16.32025	1
FBtr0301652	Tob-RC	0.584292	0.037722	0.0084	0.962756	2.652491	15.920747	2.076192	52.52805	1
FBtr0300080	wech-RA	-7.301289	NOTEST	NOTEST	0.406096	19.399699	15.184826	20929.5	0.071461	0
FBtr0334091	RhoGAP68F-RC	-3.779968	NOTEST	NOTEST	-1.908569	54.187169	21.424441	2.122302	12.5947	1
FBtr0346626	fws-RH	-2.837983	NOTEST	NOTEST	-1.934377	1.521254	3.005676	11.796732	5.71828	1
FBtr0088000	Vha36-2-RA	-3.674305	NOTEST	NOTEST	-1.966298	37.580144	2.541545	10231.9	0.0	0
FBtr0344880	qkr58E-2-RC	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0334964	CG44098-RB	-1.872454	NOTEST	NOTEST	-0.350426	33.687705	12.462423	120781.0	0.0	0
FBtr0306082	CG43204-RA	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0084022	SNF4Agamma-RE	-1.896114	NOTEST	NOTEST	-0.408705	80.645478	4.417596	41357.7	0.0	0
FBtr0303154	Rap1-RB	-1.461283	NOTEST	NOTEST	-0.491536	87.315702	10.850432	57407.8	0.0	0
FBtr0091938	Indy-2-RB	-1.372396	NOTEST	NOTEST	-0.182742	42.666667	8.0	2447.8	0.0	0
FBtr0088881	CG30380-RA	-4.351027	NOTEST	NOTEST	-3.138451	53.300674	3.510339	17.519918	1.777295	1
FBtr0079515	CG7025-RA	-4.442873	NOTEST	NOTEST	-0.527031	10.666667	20.0	4976.6	0.0	0
FBtr0334643	Pi3K92E-RC	-0.318488	0.109621	0.0781	1.239739	19.508114	10.188905	2.088606	4.22054	1
FBtr0075870	CG14118-RA	-3.070809	NOTEST	NOTEST	-0.61685	7.204277	16.265053	35107.2	0.104654	0
FBtr0074696	CG7914-RA	1.499348	0.024513	0.0034	1.808264	44.476649	19.292802	1.528535	2.31069	1
FBtr0333456	SMC5-RH	-0.01657	NOTEST	NOTEST	-0.006883	41.620766	9.062092	161.5	0.0	0
FBtr0075091	Cyp12c1-RA	-1.315515	NOTEST	NOTEST	0.842298	50.216294	5.147621	1.599672	20.7586	1
FBtr0304800	Tpc2-RB	-1.100858	NOTEST	NOTEST	0.504338	56.83103	4.433505	1.940943	0.368694	1
FBtr0331738	oc-RG	-0.072126	NOTEST	NOTEST	0.667426	25.555566	20.18804	148473.0	0.321568	0
FBtr0072937	CG1143-RA	-0.916118	0.150748	0.1424	0.839148	95.84969	5.269728	2.166028	4.87355	1
FBtr0307158	PI4KIIIalpha-RC	-2.77446	NOTEST	NOTEST	1.321724	46.96007	3.647031	4.015634	7.014555	1
FBtr0084297	pinta-RA	-1.851344	NOTEST	NOTEST	1.512224	74.833907	6.256996	1.810576	94.1648	1
FBtr0300849	CG15196-RB	0.86521	NOTEST	NOTEST	3.64495	92.663754	5.522635	336.233734	0.174992	1
FBtr0334334	Pp1alpha-96A-RB	-3.648245	NOTEST	NOTEST	1.193107	0.667808	22.57482	1.776046	44.56665	1
FBtr0335012	BOD1-RD	-2.92415	NOTEST	NOTEST	-0.894547	40.403185	3.504726	220.640916	5.80427	1
FBtr0074578	CG6123-RA	-2.586555	NOTEST	NOTEST	-0.208947	81.157568	2.432338	182728.0	0.005335	0
FBtr0309206	CG5697-RB	-0.001221	NOTEST	NOTEST	-0.001069	52.132311	13.306388	33.8	0.000264	0
FBtr0331432	PpV-RD	-2.801195	NOTEST	NOTEST	-1.391257	3.904809	16.69414	816064.0	0.649408	0
FBtr0089964	Tm1-RG	-0.031787	0.094267	0.0581	1.616438	87.726446	6.324275	2.476305	10.052075	1
FBtr0073741	Bap60-RA	-4.659865	NOTEST	NOTEST	-3.218591	31.173931	2.080928	1.475053	6.842235	1
FBtr0299814	Atx-1-RB	-1.907937	NOTEST	NOTEST	-1.229286	101.13266	10.737568	27810.1	0.100228	0
FBtr0347159	tutl-RK	-0.537156	NOTEST	NOTEST	1.018447	11.35107	20.191287	1690.9	0.0	0
FBtr0084405	CG31457-RB	-5.60562	NOTEST	NOTEST	3.952988	22.873361	11.681056	1.627544	1.878355	1
FBtr0091445	U3-55K-RA	0.251373	0.07788	0.0394	1.703729	5.364919	2.966771	2.367288	1.115337	1
FBtr0073728	CG32640-RA	-1.220821	NOTEST	NOTEST	1.979469	0.41975	22.629083	4.868055	4.382175	1
FBtr0079313	Tsp-RC	0.649472	0.048207	0.015	2.247506	93.968212	6.905379	1562051.0	4.7122	0
FBtr0086923	qkr54B-RA	-2.048031	NOTEST	NOTEST	-0.300361	1.812	2.364275	40935.1	0.073378	0
FBtr0300889	sowah-RI	-0.77227	0.139213	0.1233	-0.084296	19.882951	16.836425	8.253787	2.0827	1
FBtr0306747	cnc-RA	-1.830357	NOTEST	NOTEST	0.516229	28.877843	13.152621	2.250982	63.26495	1
FBtr0343838	CG14346-RC	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0087573	Opa1-RB	-2.957872	NOTEST	NOTEST	-1.624574	0.491099	22.373975	1968.634084	11.01579	1
FBtr0308823	CG13743-RB	-3.034042	NOTEST	NOTEST	-0.460918	82.139645	2.392024	3741.110217	2.786855	1
FBtr0078542	CG14454-RA	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0083663	CG31229-RA	1.744005	0.014577	0.0012	3.428266	4.468437	1.479904	2.509299	14.0301	1
FBtr0084150	CG17843-RA	-0.437446	0.116599	0.0879	2.865896	71.418692	7.891812	1.420397	8.41288	1
FBtr0334689	Whamy-RE	-0.354604	NOTEST	NOTEST	-0.22116	10.097	0.615222	523.8	0.00196	0
FBtr0310047	CG11737-RB	-2.708087	NOTEST	NOTEST	-0.959526	0.23535	23.077515	5.465003	0.883064	1
FBtr0075526	brm-RB	-5.643636	NOTEST	NOTEST	-0.302038	5.311632	22.969632	112531.0	0.214468	0
FBtr0079993	GATAd-RA	1.076337	0.032412	0.0058	1.14686	100.253244	4.836201	87.933463	12.3571	1
FBtr0332358	PRL-1-RD	0.577544	0.056459	0.0203	3.920993	86.785331	7.703031	3.393335	278.0865	1
FBtr0078640	glob3-RA	-1.955763	NOTEST	NOTEST	-0.243816	0.0	24.0	5779.7	0.0	0
FBtr0083523	Alg1-RA	-4.096795	NOTEST	NOTEST	-0.577887	2.807769	3.423891	1.367546	13.79205	1
FBtr0332183	OS9-RB	-2.836583	NOTEST	NOTEST	0.589049	19.17944	22.68544	4.620395	8.723025	1
FBtr0301071	CG4328-RB	-0.633598	0.129494	0.1077	1.07423	93.082185	3.81757	2.030631	1.204835	1
FBtr0310155	GLaz-RF	-3.578603	NOTEST	NOTEST	-0.434352	21.395131	22.869032	3.72215	8.056465	1
FBtr0079511	Tep2-RB	0.099256	0.086429	0.049	0.455486	65.673876	6.52696	2.04647	14.23965	1
FBtr0340419	CG32532-RC	-3.937972	NOTEST	NOTEST	2.295107	102.277774	16.767905	5801.442029	0.395917	1
FBtr0073088	CG14968-RD	-0.846951	NOTEST	NOTEST	0.320743	31.713726	9.454934	150171.0	0.0	0
FBtr0336997	CG30491-RB	0.507909	0.048117	0.0149	3.067853	1.496737	22.635059	1.671101	7.603725	1
FBtr0332364	CG8086-RN	-0.016792	NOTEST	NOTEST	-0.005958	6.958855	18.399795	162.7	0.0	0
FBtr0332075	ste14-RB	-3.971157	NOTEST	NOTEST	-0.697409	26.696685	5.607183	121021.0	0.000409	0
FBtr0304714	Usp8-RB	5.409712	0.0	0.0	6.024671	29.57565	10.347435	6.204445	39.146	1
FBtr0070251	CG11384-RA	-0.989945	NOTEST	NOTEST	1.492	47.50162	12.607496	7395.8	0.033386	0
FBtr0070713	Proc-R-RB	-5.975156	NOTEST	NOTEST	-0.833345	6.902342	5.109169	155214.0	0.00083	0
FBtr0332696	CG7290-RB	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0343170	Dop2R-RI	-1.662166	NOTEST	NOTEST	-0.764589	7.075264	23.553394	98740.4	0.054201	0
FBtr0342577	RpS9-RE	0.273445	0.044142	0.0119	1.485413	35.883555	13.346221	5.07129	11.7113	1
FBtr0339330	pch2-RB	-1.306893	NOTEST	NOTEST	0.77659	69.487575	8.793688	73000.4	0.272232	0
FBtr0070262	br-RE	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0339080	Trpm-RH	-0.464079	0.061038	0.0242	0.615487	0.668728	0.306379	1.71767	3.786775	1
FBtr0332542	CG11672-RB	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0334546	CanA1-RD	-2.347687	NOTEST	NOTEST	2.380645	71.955152	6.815007	1.479191	7.954425	1
FBtr0332646	CG10660-RC	-2.760934	NOTEST	NOTEST	-0.663965	20.469572	20.736896	5149.585062	2.572585	1
FBtr0100863	mt:CoII-RA	-2.161818	NOTEST	NOTEST	2.111752	0.404094	13.551443	3.207397	23197.25	1
FBtr0343875	bur-RC	-3.452008	NOTEST	NOTEST	0.323073	8.012323	18.955706	9.312518	7.186895	1
FBtr0331564	ND-39-RB	-2.17604	NOTEST	NOTEST	-0.733813	0.129253	0.630147	1.529692	72.57065	1
FBtr0078540	ArfGAP3-RB	-2.211712	NOTEST	NOTEST	-0.279525	41.660977	7.905137	255201.0	0.0	0
FBtr0073328	CG13721-RA	-2.071807	NOTEST	NOTEST	-0.254444	74.666667	4.0	8831.2	0.0	0
FBtr0088390	eve-RA	-2.73269	NOTEST	NOTEST	-0.538201	9.30283	20.264462	4340.4	0.0	0
FBtr0080354	CG17010-RA	-2.560802	NOTEST	NOTEST	0.458851	79.913538	20.01232	16437.9	0.082719	0
FBtr0330156	Aef1-RD	-0.007965	NOTEST	NOTEST	-0.001138	74.666667	4.0	107.8	0.0	0
FBtr0077670	alpha4GT1-RA	-6.815772	NOTEST	NOTEST	1.136898	10.810712	7.335724	1.434469	25.67435	1
FBtr0081620	Ama-RC	-3.338906	NOTEST	NOTEST	1.680286	74.622967	7.415123	33285.4	0.159375	1
FBtr0082424	Ho-RA	0.020986	0.081987	0.0437	0.892003	32.374266	20.469085	1.468619	44.14695	1
FBtr0110769	BG642163-RA	-2.034139	NOTEST	NOTEST	-0.25105	32.0	12.0	7426.8	0.0	0
FBtr0392905	CG34148-RD	0.071076	0.088054	0.0508	0.516892	11.164976	19.670908	694097.0	3.459855	0
FBtr0078987	CG31516-RA	0.315456	NOTEST	NOTEST	4.12361	8.864296	19.289565	31176.9	0.015105	0
FBtr0336471	CG7183-RB	-4.614931	NOTEST	NOTEST	-0.532184	16.932191	22.077073	2.542162	2.05988	1
FBtr0076855	CG18417-RA	-4.311577	NOTEST	NOTEST	-0.526055	0.0	24.0	4094.3	0.0	0
FBtr0346019	Muc18B-RB	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0076619	Gug-RD	-2.962098	NOTEST	NOTEST	-0.862451	12.251494	12.687282	77149.3	0.0	0
FBtr0344723	cn-RB	0.309148	NOTEST	NOTEST	1.019881	79.860789	16.304306	12150.4	0.030412	0
FBtr0072429	TyrRS-m-RA	-1.425357	NOTEST	NOTEST	-0.538965	28.255532	23.9254	2.265714	6.49761	1
FBtr0086170	CG17002-RB	-0.00058	NOTEST	NOTEST	0.000482	9.66387	19.5761	10.974359	0.000129	1
FBtr0339940	CG17716-RB	0.090659	0.085747	0.048	2.550411	3.961435	20.859105	1.634415	10.59095	1
FBtr0111088	Dscam1-RM	-1.238809	NOTEST	NOTEST	-0.336002	82.428487	2.835714	57607.9	0.195841	0
FBtr0113694	Gfat1-RH	0.073999	0.083565	0.0455	2.984439	13.693032	20.030996	7.176831	3.746985	1
FBtr0070898	mldr-RA	-1.340985	NOTEST	NOTEST	0.201296	34.956829	1.380589	2.473051	1.349575	1
FBtr0077179	CG10672-RA	-0.72942	0.137231	0.12	1.276523	3.151378	21.492777	1.430862	26.48565	1
FBtr0330183	Nf1-RF	-2.177551	NOTEST	NOTEST	0.030889	82.020117	8.385574	1.535953	14.1137	1
FBtr0084533	spas-RA	-3.197441	NOTEST	NOTEST	-1.851484	17.444312	9.557467	6.813709	1.413195	1
FBtr0306348	Cortactin-RC	-2.591936	NOTEST	NOTEST	-0.455055	1.247981	1.317125	9763.9	0.0	0
FBtr0344660	CG30275-RM	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0309836	eIF5B-RC	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
FBtr0089137	Syt7-RA	0.539044	0.045142	0.0128	1.597935	11.315079	19.951605	2.418671	26.7914	1
FBtr0086325	CG16898-RA	0.070876	0.08357	0.0456	1.306947	0.43932	12.111991	2.124743	14.55205	1
FBtr0075654	CG13457-RB	-1.253896	NOTEST	NOTEST	0.414597	12.86017	20.245325	1598.3	0.004365	0
FBtr0309056	jef-RB	0.126377	0.070007	0.0314	0.408932	22.798809	19.367332	1.558199	28.3967	1
FBtr0082786	Act87E-RB	-0.383661	NOTEST	NOTEST	0.474419	53.885804	17.852782	66472.9	0.0	0
FBtr0347002	CG10096-RC	-2.3186	NOTEST	NOTEST	-0.148081	73.623303	8.463043	17684.5	0.0	0
FBtr0082771	Lip3-RA	1.370788	0.015735	0.0014	1.922413	1.850155	2.235388	8.93776	1.160745	1
FBtr0336459	CG31145-RF	1.891642	NOTEST	NOTEST	3.19978	73.67326	22.303783	1.389833	83.0816	1
FBtr0086327	Obp56e-RA	-1.032694	NOTEST	NOTEST	2.405979	1.935268	23.432925	1.673907	592.5045	1
FBtr0084971	CG14551-RA	0.0	NOTEST	NOTEST	0.0	0.0	-0.0	1.0	0.0	0
